id_envio,fecha_operacion,cantidad_paquetes,peso_paquete_kg,tarifa_base,descuento_pct,canal,metodo_pago,calificacion,costo_envio,observacion,sedes_nombre,sedes_distrito,sedes_zona,tipos_envio_nombre,tipos_envio_categoria,tipos_envio_tarifa_base,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
137,2026-06-15,4,27.08,118.81,10,Presencial,Efectivo,1,150.75,OK,  Sede 2 ,Chorrillos,Sur,Mudanza pequena,Volumen,118.81,Fiorella Huaman,Ventanilla,Premium,2025-05-05
138,08/04/2026,8 aprox,28.24,8.28,5,web,Tarjeta,2,96.54,Cliente frecuente,Sede 6,Surco,centro,Documento,LIVIANO,8.28,Valeria Torres,Chorrillos,Corporativo,2025-09-22
139,2026-06-15,8,21.11,26.64,5,App,Yape, 4 ,91.25,OK,Sede 3,Independencia,Sur,Paquete mediano,Regular,26.64,Diego Sayan,,Nuevo,2025-05-16
140,2026-04-17,1,12.54,118.81,0,Presencial,,1,,Revisar,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Victor Reyes,Callao,,2025-05-11
141,2026-03-01,2,12.17,51.69,8,WhatsApp,Yape,3,66.35,Revisar,Sede 5,lima,Oeste,Fragil,  Especial ,51.69,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
142,2026-02-24,6,19.66,51.69,5,Presencial,Plin,4,95.39,Promocion,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Miguel  Cruz,Surco,Regular,15/12/2025
143,2026-02-23,5,14.39,89.36,10 aprox,App,Tarjeta,1,141.67,Revisar,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Raul Navarro,SURCO,PREMIUM,2025-05-27
144,2026-05-01,3,19.84,89.36,20,WhatsApp,Efectivo,2,132.5,Revisar,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,Victor Castillo,Comas,Premium,2025-09-06
145,2026-06-15,8,21.11,26.64,5,App,Yape, 4 ,91.25,OK,Sede 3,Independencia,Sur,Paquete mediano,Regular,26.64,Diego Sayan,,Nuevo,2025-05-16
146,2026-01-01,8,20.0,57.44,12,Telefono,Efectivo,4,121.89,Revisar,  Sede 2 ,Chorrillos,Sur,Courier empresarial,Empresa,57.44,Valeria Reyes,Chorrillos,Frecuente,2025-10-05
147,2026-02-06,6,31.38,89.36,0,,Tarjeta,1,146.96,,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
148,2026-02-07,1,1.25,51.69,20 aprox,WhatsApp,Tarjeta,2,55.87,OK,Sede 1,,  Este ,Fragil,  Especial ,51.69,Diego Huaman,miraflores,Nuevo,2025-07-07
149,2026-03-07,1,30.82,14.68,20,WhatsApp,Plin,3,70.43,,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,Sofia Ramos,Ventanilla,Frecuente, 2025-01-03 
150,2026-02-01,6,22.62,57.44,12,Web,Yape,5,130.19,Cliente frecuente,Sede 5,lima,Oeste,Courier empresarial,Empresa,57.44,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
151,08/02/2026,2,95.45,8.28,0,WhatsApp,Plin,4,,Promocion,Sede 3,Independencia,Sur,Documento,LIVIANO,8.28,Victor Flores,Independencia,Corporativo,2025-05-05
152,,2,34.84,14.68,5,App,Efectivo,5,90.18,Promocion,Sede 3,Independencia,Sur,Paquete pequeno,Liviano,14.68,Victor Sayan,Chorrillos,,2025-09-16
153,2026-02-12,2,3.21,89.36,5,App,Efectivo,2,85.82,Revisar,Sede 5,lima,Oeste,Refrigerado,EsPeCiAl,89.36,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
154,2026-02-07,7,13.22,76.22 aprox,12,Presencial,Plin, 5 ,126.72,Revisar,Sede 7,Comas,este,Express,,76.22,Luis Gomez,Ate,Corporativo,2025/09/13
155,2026-03-19,7 aprox,2.34,8.28,12,WhatsApp,Yape,1,S/ 35.69,Cliente frecuente,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
156,2026-03-04,4,19.76,S/ 8.28,0,Presencial,Transferencia,4,57.72,Cliente frecuente,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,DIEGO SALAZAR,LoS OlIvOs,,2025-02-13
157,2026-03-16,8,32.84,89.36,20,App,Tarjeta,4,160.37,  Promocion ,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,Jose Huaman,  Ventanilla ,Regular,2025-03-18
158,2026-03-04,8,33.94,89.36,12,WhatsApp,Efectivo,3,195.59,Promocion,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,Fiorella Mendoza,Los Olivos,Premium,2025-12-22
159,2026-06-06,1,11.88,43.99,0,App,Tarjeta,2,69.55,Revisar,Sede 7,Comas,este,Paquete grande,Regular,43.99,Fiorella Ramos,Surco,Regular, 2025-06-26 
160,2026-05-13,5,15.49,51.69,0,WhatsApp,Plin,1,107.47,OK,Sede 5,lima,Oeste,Fragil,  Especial ,51.69,Raul Salazar,Lima,Premium,2025-03-04
161,2026-04-09,4,15.22,76.22,5,Presencial,Yape,2,108.13,Revisar,Sede 1,,  Este ,Express,,76.22,VALERIA QUISPE,Callao,Nuevo,2025-06-04
162,2026-06-04,5, 33.22 ,26.64,12,Web,,4,"122,9",Revisar,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,Ana Vargas,San Miguel,  Corporativo ,2025-06-15
163,2026-06-14,2,10.88,26.64,0,App,Tarjeta,3,67.47,Promocion,Sede 7,Comas,este,Paquete mediano,Regular,26.64,Ana Navarro,San Miguel,Regular, 2025-12-17 
164,2026-03-12,1,8.83 aprox,51.69 aprox,0,Presencial,tarjeta,1,65.32,Revisar,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
165,2026-05-28,8,130.6,43.99,0,App,Transferencia,3,296.73,Promocion,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Miguel Flores,La Molina,CoRpOrAtIvO,2025-10-23
166,2026-05-20,5,8.31,"118,81",8,WhatsApp,Plin,1 aprox,150.06,,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Maria Huaman,  Chorrillos ,Frecuente,2025-12-18
167,2026-06-12,2,5.64,"76,22",8,Presencial,Tarjeta,1,124.68,Cliente frecuente,Sede 1,,  Este ,Express,,76.22,Marco Paredes,  La Molina ,Premium,2025-10-13
168,2026-05-02, 8 ,3.32,51.69,0,Presencial,Yape,5,83.19,,Sede 1,,  Este ,Fragil,  Especial ,51.69,Ana Rojas,Chorrillos,Nuevo,2025-04-09
169,2026-06-09,2, 34.52 ,S/ 43.99,5,Presencial,Tarjeta,4,105.66,,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Lucia Campos,  Independencia ,Frecuente,2025-05-03
170,2026-04-12,5,26.09,14.68,15,Web,Yape,5,85.77,PROMOCION,Sede 6,Surco,centro,Paquete pequeno,Liviano,14.68,Victor Sayan,Chorrillos,,2025-09-16
171,2026-05-20,8,4.04,14.68,0,WhatsApp,PLIN,3,82.63,,Sede 3,Independencia,Sur,Paquete pequeno,Liviano,14.68,Camila Quispe,Independencia,Nuevo,2025-08-16
172,2026-03-05,3,11.44,43.99, 20 ,Presencial,efectivo,4,83.52,,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Andre Gomez,ATE,Premium,2025-12-21
173,2026-03-04,3,29.65,43.99,15,App,Tarjeta,1,121.4,,Sede 3,Independencia,Sur,Paquete grande,Regular,43.99,Andre Mendoza,Ate,Frecuente,2025/10/26
174,2026-02-05,4,19.81,14.68,12,Telefono,Efectivo,3,81.25,cliente frecuente,Sede 7,Comas,este,Paquete pequeno,Liviano,14.68,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
175, 2026-01-01 ,3,9.45,57.44,0,Presencial,Transferencia,3, 79.05 ,,Sede 3,Independencia,Sur,Courier empresarial,Empresa,57.44,Sofia Ramos,Ventanilla,Frecuente, 2025-01-03 
176,2026-03-26,4,28.87,43.99,0,Telefono,Yape,4,104.25 aprox,Promocion,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Claudia Mendoza,Villa El Salvador,Corporativo,2025-09-03
177,,6,30.74,26.64, 0 ,Presencial,EfEcTiVo,5,103.13,Promocion,Sede 1,,  Este ,Paquete mediano,Regular,26.64,Carlos Soto,Callao,Nuevo,2025-07-25
178,2026-03-03,6,32.04,43.99,0,Presencial,Efectivo,1,141.15,  Promocion ,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Camila Quispe,Independencia,Nuevo,2025-08-16
179,2026-06-04,3,4.43,8.28,5,Presencial,Transferencia,5, 24.97 ,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Documento,LIVIANO,8.28,Diana Torres,Callao,Premium,2025-04-06
180,2026-05-19,,25.01,76.22,0,WhatsApp,Efectivo,2,111.06,,  Sede 2 ,Chorrillos,Sur,Express,,76.22,Sofia Gomez,Ventanilla,FRECUENTE,2025-06-17
181,2026-05-28, 2 ,22.98,89.36,12,  WhatsApp ,Efectivo,4,130.29,,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
182,2026-02-04,3,21.91,76.22 aprox,0,web,Tarjeta,5,114.0,OK,Sede 3,Independencia,Sur,Express,,76.22,Victor Castillo,Comas,Premium,2025-09-06
183,2026-06-15, 7 ,11.45,8.28,10,Web,Yape,4,67.56,,Sede 4,SaN MiGuEl,  Este ,Documento,LIVIANO,8.28,Diego Huaman,miraflores,Nuevo,2025-07-07
184,2026-01-25,6,15.98,14.68,5,Telefono,Plin,4,73.72,,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
185,2026-01-26,3,8.22,8.28,0,Web,Transferencia,3,40.39,OK,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,Valeria Torres,Chorrillos,Corporativo,2025-09-22
186,2026-04-24,7, 12.91 ,14.68,5,Presencial,TrAnSfErEnCiA,5,74.93,Revisar,Sede 3,Independencia,Sur,Paquete pequeno,Liviano,14.68,Carlos Huaman,Chorrillos,Premium,2025-10-20
187,25-01-2026,2,27.76,57.44,0,App,Transferencia,4,115.81,,Sede 5,lima,Oeste,Courier empresarial,Empresa,57.44,Carlos Quispe,San Miguel,CORPORATIVO,2025-04-17
188,2026-04-11,1,5.41,76.22,8,Presencial,transferencia,5,78.53,OK,Sede 6,Surco,centro,Express,,76.22,Victor Flores,Independencia,Corporativo,2025-05-05
189,2026-01-01,2,21.58,8.28,8,App,Transferencia,4,60.04,,Sede 5,lima,Oeste,Documento,LIVIANO,8.28,Raul Reyes,,Corporativo,2025-11-16
190,2026-03-07,7,31.38,43.99, 0 ,,PLIN,4,143.34,Revisar,Sede 1,,  Este ,Paquete grande,Regular,43.99,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
191,2026-03-12,,14.54,8.28,15,App,Tarjeta,4,93.65 aprox,Promocion,Sede 7,Comas,este,Documento,LIVIANO,8.28,Miguel Cruz,Callao,Premium,2025-08-03
192,2026/05/22,5, 3.9 ,118.81,0,Telefono,Yape,5,153.4,Revisar,Sede 7,Comas,este,Mudanza pequena,Volumen,118.81,Ana Soto,San Miguel,Regular,2025-08-22
193,2026-01-13,5,24.52,"8,28",0,App,Plin,2,66.09,Revisar,Sede 1,,  Este ,Documento,LIVIANO,8.28,Victor Flores,Independencia,Corporativo,2025-05-05
194,2026-04-01,7,21.89,76.22,10,Telefono,Efectivo,1,135.58,,Sede 4,SaN MiGuEl,  Este ,Express,,76.22,Elena Paredes,Los Olivos,Corporativo,2025-02-27
195,2026-06-28,3,19.26,118.81, 10 ,ApP,Yape,3,128.27,,Sede 3,Independencia,Sur,Mudanza pequena,Volumen,118.81,Miguel Cruz,Callao,Premium,2025-08-03
196,2026-06-28,6,20.15,118.81,15,  WhatsApp ,Yape,2,164.58,Cliente frecuente,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
197, 2026-01-16 ,3,24.48,118.81,15,Web,Efectivo,5,167.15,Revisar,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Victor Flores,Independencia,Corporativo,2025-05-05
198,2026-03-21,7,31.7,51.69,8,WhatsApp,Yape,2,134.87,Cliente frecuente,Sede 5,lima,Oeste,Fragil,  Especial ,51.69,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
199,2026-01-28,7, 14.88 ,118.81,0,App,  Tarjeta ,3,171.36,Cliente frecuente,Sede 3,Independencia,Sur,Mudanza pequena,Volumen,118.81,Carlos Soto,Callao,Nuevo,2025-07-25
200,2026-01-21,7,6.69,8.28,0,Telefono,Tarjeta,2 aprox,73.93,Cliente frecuente,Sede 7,Comas,este,Documento,LIVIANO,8.28,Jorge Mendoza,Independencia,Frecuente,2025-12-13
201,2026-01-16,5,15.62, 51.69 ,5,Telefono,Transferencia,5,107.01,,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Diego Sayan,,Nuevo,2025-05-16
202,2026-01-03,7,1.29,118.81,0,WhatsApp,Tarjeta,1,152.19,OK,Sede 4,SaN MiGuEl,  Este ,Mudanza pequena,Volumen,118.81,Sofia Ramos,Ventanilla,Frecuente, 2025-01-03 
203,2026-01-13,7,11.4,89.36,20,WEB,Plin,2,104.26,OK,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,,Ate,Premium,2025-10-09
204,2026-03-15,1,2.58,89.36,8,WhatsApp,Tarjeta,5,82.34,ReViSaR,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,Victor Navarro,San Miguel,Premium,2025-07-05
205,2026-05-14,2,17.92,14.68,15,Presencial,Yape,4,61.49,Revisar,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,,San Juan de Lurigancho,Frecuente,2025-04-19
206,2026-05-02,8,15.48,51.69,0,Presencial,Efectivo,1,113.65 aprox,,Sede 4,SaN MiGuEl,  Este ,Fragil,  Especial ,51.69,Pedro Salazar,Ventanilla,Nuevo,2025-02-01
207,2026-03-26,7,4.19,89.36,12,WhatsApp,Yape,2,122.38,,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
208,2026-01-05,1,27.39,14.68,20,Presencial,Yape,2,55.39,Cliente frecuente,Sede 3,Independencia,Sur,Paquete pequeno,Liviano,14.68,Victor Castillo,Comas,Premium,2025-09-06
209,2026-03-17,8, 17.45 ,26.64,12,Web,Transferencia,,,,Sede 1,,  Este ,Paquete mediano,Regular,26.64,Ana Vargas,San Miguel,  Corporativo ,2025-06-15
210,,7,2.46,51.69, 10 ,App,Plin,2,81.17,OK,Sede 3,Independencia,Sur,Fragil,  Especial ,51.69,Fiorella Gomez,Chorrillos,Regular,2025-08-09
211,2026-02-27,5,5.58,43.99,20,Presencial,Efectivo,4,63.0,Promocion,Sede 1,,  Este ,Paquete grande,Regular,43.99,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
212,2026-06-05,4,8.91,14.68,15,WhatsApp,Transferencia,1,39.31,  OK ,Sede 4,SaN MiGuEl,  Este ,Paquete pequeno,Liviano,14.68,Carlos Flores,Chorrillos,Regular,2025-11-05
213,2026-05-28,2,31.72,43.99,0,App,Plin,5,102.79,Promocion,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Fiorella Paredes,La  Molina,Corporativo,2025-09-26
214,17-03-2026,7,2.21,S/ 57.44,0,Web,Plin,2,112.06,Revisar,Sede 7,Comas,este,Courier empresarial,Empresa,57.44,Luis Torres,Ate,Premium,2025-06-12
215,2026-06-22,8,7.08,89.36,0,WhatsApp,Yape,2,125.56,Promocion,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Fiorella Gomez,Chorrillos,Regular,2025-08-09
216,2026-01-16,5,25.61,8.28,15,  Presencial ,efectivo,5,77.48,,Sede 7,Comas,este,Documento,LIVIANO,8.28,Pedro Salazar,Ventanilla,Nuevo,2025-02-01
217,2026-04-13,2,18.03,118.81,5,  Web ,Tarjeta,4,157.59,Revisar,Sede 1,,  Este ,Mudanza pequena,Volumen,118.81,Carlos Huaman,Chorrillos,Premium,2025-10-20
218,2026-02-08,1,1.34,57.44,0,Telefono,Plin,4,72.79,Promocion,Sede 7,Comas,este,Courier empresarial,Empresa,57.44,Miguel Quispe,Callao,CORPORATIVO,07-01-2025
219,2026-04-27,5,6.45 aprox,76.22,10,Web,Plin,4,121.81,,Sede 7,Comas,este,Express,,76.22,Victor Flores,Independencia,Corporativo,2025-05-05
220,2026-03-07,,31.35,57.44,10,Telefono,Transferencia,3,S/ 142.01,,Sede 7,Comas,este,Courier empresarial,Empresa,57.44,Ana Campos,Villa El Salvador,Premium,2025-11-12
221,2026-05-13,1,27.79, 14.68 ,0,Telefono,Tarjeta,1,44.69,Revisar,  Sede 2 ,Chorrillos,Sur,Paquete pequeno,Liviano,14.68,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
222,06/03/2026,6,20.59, 89.36 ,8,App,Efectivo,3,144.89,,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Victor Sayan,Chorrillos,,2025-09-16
223,2026-05-28,8,9.84,57.44,20,Telefono,Yape,4,S/ 87.99,,Sede 1,,  Este ,Courier empresarial,Empresa,57.44,Ana Campos,Villa El Salvador,Premium,2025-11-12
224,,7,"28,47",14.68,8,  App ,Yape,1,102.8,Revisar,Sede 5,lima,Oeste,Paquete pequeno,Liviano,14.68,Fiorella Mendoza,Los Olivos,Premium,2025-12-22
225,2026-04-05,,15.31,43.99,0,Presencial,Tarjeta,3,66.43,Cliente frecuente,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,,Lima,frecuente,2025-05-06
226,2026-05-21,8,12.42,57.44 aprox,5,Presencial,Transferencia,5,104.74,Cliente frecuente,Sede 5,lima,Oeste,Courier empresarial,Empresa,57.44,Andre Mendoza,Ate,Frecuente,2025/10/26
227,2026-05-13,5,28.76,76.22,20,  Web ,Efectivo,1,146.07,ClIeNtE FrEcUeNtE,Sede 3,Independencia,Sur,Express,,76.22,Luis Gomez,Ate,Corporativo,2025/09/13
228,2026-01-20,2,25.26,51.69,0,Web,TRANSFERENCIA, 3 , 95.36 ,Promocion,Sede 1,,  Este ,Fragil,  Especial ,51.69,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
229,2026-05-26,4,31.06,76.22,12,Telefono,Transferencia,4,120.66,,  Sede 2 ,Chorrillos,Sur,Express,,76.22,ELENA CRUZ,Ventanilla,Corporativo,2025-10-03
230,2026-04-03,7,,S/ 26.64,0,WhatsApp,TrAnSfErEnCiA,3,88.88,,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,Maria Paredes,Surco,CORPORATIVO,2025-09-19
231,2026/05/14,4,18.22, 26.64 ,8,Presencial,Efectivo,3,318.38,Revisar,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,Luis Rojas,San  Juan  de  Lurigancho,nuevo,2025/10/18
232,2026-02-11,6,31.76,43.99,10,App,Efectivo,1,106.39,Revisar,Sede 6,Surco,centro,Paquete grande,Regular,43.99,Andre Mendoza,Ate,Frecuente,2025/10/26
233,2026-01-24, 5 ,11.56 aprox,57.44, 0 ,Web,Plin,5,83.06,,  Sede 2 ,Chorrillos,Sur,Courier empresarial,Empresa,57.44,Carlos Flores,Chorrillos,Regular,2025-11-05
234,01/04/2026,6,14.35,8.28,15,WHATSAPP,Efectivo,2,50.73,Revisar,Sede 3,Independencia,Sur,Documento,LIVIANO,8.28,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
235,2026-02-26,7,27.33,89.36,10,App,Tarjeta,5,144.6,Promocion,Sede 5,lima,Oeste,Refrigerado,EsPeCiAl,89.36,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
236,,3,20.34,S/ 43.99,10,Web,Yape,3,99.3,Cliente frecuente,Sede 5,lima,Oeste,Paquete grande,Regular,43.99,Miguel Mendoza,Comas,Corporativo,2025-06-02
237,2026-04-04,1,1.06,14.68,8,ApP,Plin,2,11.94,ReViSaR,  Sede 2 ,Chorrillos,Sur,Paquete pequeno,Liviano,14.68,Elena Rojas,CHORRILLOS,PrEmIuM,2025-08-03
238,2026-02-24,3,31.09,14.68,15,Telefono,Efectivo,2,82.09,,Sede 4,SaN MiGuEl,  Este ,Paquete pequeno,Liviano,14.68,Claudia Rojas,San Juan de Lurigancho,Corporativo,06/01/2025
239,2026-03-25,3,11.53,51.69,10,Web,Transferencia,3,98.27,,Sede 1,,  Este ,Fragil,  Especial ,51.69,Ana Navarro,San Miguel,Regular, 2025-12-17 
240, 2026-05-19 ,5,32.98,51.69,0,Telefono,Yape,5,123.39,,Sede 1,,  Este ,Fragil,  Especial ,51.69,Raul Sayan,Ventanilla,Corporativo,2025-08-09
241,2026-05-17,3,26.77, 57.44 ,15,App,Plin,5,117.4,,Sede 4,SaN MiGuEl,  Este ,Courier empresarial,Empresa,57.44,Miguel Mendoza,Comas,Corporativo,2025-06-02
242,2026-02-02,3,,89.36 aprox,0,Presencial,,4,133.33,   ,Sede 7,Comas,este,Refrigerado,EsPeCiAl,89.36,Claudia Ramos,Lima,Corporativo,2025-05-04
243,2026-02-10,4,19.9,118.81,0,WhatsApp,Yape,4,151.57,Cliente frecuente,Sede 7,Comas,este,Mudanza pequena,Volumen,118.81,Ana Vargas,San Miguel,  Corporativo ,2025-06-15
244,2026-05-11, 4 ,2.77,89.36,10,Web,Efectivo,3,96.4,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,Miguel Flores,La Molina,CoRpOrAtIvO,2025-10-23
245,2026-04-21,5,21.79, 51.69 ,10,App,Efectivo,3,127.97,Revisar,Sede 7,Comas,este,Fragil,  Especial ,51.69,Camila Quispe,Independencia,Nuevo,2025-08-16
246,2026-01-27,,3.73,57.44,10,Web,Yape,2,84.74,OK,Sede 4,SaN MiGuEl,  Este ,Courier empresarial,Empresa,57.44,Victor Reyes,Callao,,2025-05-11
247,2026-02-23,4,32.33,26.64,8,Telefono,Efectivo,3,96.75,Cliente frecuente,Sede 7,Comas,este,Paquete mediano,Regular,26.64,Ana Campos,Villa El Salvador,Premium,2025-11-12
248,2026-04-21,3,31.01,89.36,15,WhatsApp,,3,151.75,,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,Diego Sayan,,Nuevo,2025-05-16
249,2026-02-04,2,33.85,89.36,0,Web,Tarjeta,4,S/ 140.96,,  Sede 2 ,Chorrillos,Sur,Refrigerado,EsPeCiAl,89.36,,Ate,Premium,2025-10-09
250,2026-02-19,3,13.74,14.68,5,Web,Efectivo,3,S/ 64.81,Promocion,Sede 1,,  Este ,Paquete pequeno,Liviano,14.68,Luis Paredes,ate,Corporativo,2025-01-22
251,2026-05-18,7,31.72,14.68,20,Telefono,Plin,4,107.85,Promocion,Sede 4,SaN MiGuEl,  Este ,Paquete pequeno,Liviano,14.68,Victor Castillo,Comas,Premium,2025-09-06
252,06/05/2026,3,3.3,8.28,0,App,Tarjeta,3,101.47,,Sede 1,,  Este ,Documento,LIVIANO,8.28,pedro huaman,Los Olivos,Nuevo,2025-10-17
253,2026-04-07,5,5.28,14.68,0,WhAtSaPp,Tarjeta,4,59.96,OK,Sede 6,Surco,centro,Paquete pequeno,Liviano,14.68,Jose Huaman,  Ventanilla ,Regular,2025-03-18
254,2026-02-08,5,0.56,118.81,8,WhatsApp,,5,124.06,OK,Sede 5,lima,Oeste,Mudanza pequena,Volumen,118.81,Miguel Flores,San Juan de Lurigancho,Frecuente,2025-01-16
255,2026-03-22, 3 ,15.29,51.69,0,,Tarjeta,1, 79.5 ,OK,  Sede 2 ,Chorrillos,Sur,Fragil,  Especial ,51.69,Fiorella Paredes,La  Molina,Corporativo,2025-09-26
256,2026-01-25,1 aprox,1.84,89.36,10,Presencial,Tarjeta,5,98.83,Cliente frecuente,Sede 1,,  Este ,Refrigerado,EsPeCiAl,89.36,Victor Reyes,Callao,,2025-05-11
257,2026-02-06,6,31.38,89.36,0,,Tarjeta,1,146.96,,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,Valeria Paredes,LoS OlIvOs,Corporativo,2025-04-15
258,2026-04-24, 8 ,11.66,8.28,12,Presencial,Transferencia,1,75.87,,Sede 1,,  Este ,Documento,LIVIANO,8.28,Elena Rojas,CHORRILLOS,PrEmIuM,2025-08-03
259,2026-06-23,6,11.32,89.36,8,Presencial,YAPE,3,133.23,OK,Sede 4,SaN MiGuEl,  Este ,Refrigerado,EsPeCiAl,89.36,Maria Huaman,  Chorrillos ,Frecuente,2025-12-18
260,2026-06-19,1,1.26,26.64,5,Telefono,Efectivo,3,45.2,OK,  Sede 2 ,Chorrillos,Sur,Paquete mediano,Regular,26.64,Fiorella Mendoza,Los Olivos,Premium,2025-12-22
261,13-04-2026,4,4.12,14.68,,Telefono,TrAnSfErEnCiA,1,65.82,Cliente frecuente,Sede 6,Surco,centro,Paquete pequeno,Liviano,14.68,Luis Paredes,ate,Corporativo,2025-01-22
262,2026/02/26,8,25.07 aprox,43.99,0,App,Efectivo,3,115.5,OK,Sede 7,Comas,este,Paquete grande,Regular,43.99,Sofia Vargas,San Juan de Lurigancho,Nuevo,2025-02-06
263,2026-04-13,,26.4,57.44,15,Web,TRANSFERENCIA,1,148.2,OK,Sede 3,Independencia,Sur,Courier empresarial,Empresa,57.44,Diego Huaman,miraflores,Nuevo,2025-07-07
264,2026-01-13,1,23.53,,15,WhatsApp,plin,5,103.4,OK,Sede 5,lima,Oeste,Courier empresarial,Empresa,57.44,,Ate,Premium,2025-10-09
265,2026-05-16,2,5.92,26.64,5,Web,Yape,3,,,Sede 1,,  Este ,Paquete mediano,Regular,26.64,Miguel Flores,La Molina,CoRpOrAtIvO,2025-10-23
266,2026-01-23,3,29.44,8.28,10,presencial,Efectivo,1,83.63,OK,  Sede 2 ,Chorrillos,Sur,Documento,LIVIANO,8.28,Raul Navarro,SURCO,PREMIUM,2025-05-27
267,2026-06-13,7,12.28,26.64,0,WhatsApp,Transferencia,4 aprox,82.62,Cliente frecuente,Sede 7,Comas,este,Paquete mediano,Regular,26.64,Carlos Soto,Callao,Nuevo,2025-07-25
268,2026-05-23,6,17.66,8.28,10,App,Plin,2,49.49,Revisar,Sede 7,Comas,este,Documento,LIVIANO,8.28,Miguel Mendoza,Comas,Corporativo,2025-06-02
269,2026-05-11,3 aprox,0.21,57.44,0,Telefono,Efectivo,5,74.6,Cliente frecuente,  Sede 2 ,Chorrillos,Sur,Courier empresarial,Empresa,57.44,Elena Salazar,SURCO,Frecuente,2025-09-18
270,2026-06-10,1,18.67 aprox,51.69,0,Presencial,TARJETA,1,83.16,,Sede 5,lima,Oeste,Fragil,  Especial ,51.69,Fiorella Huaman,Ventanilla,Premium,2025-05-05
271,2026-01-03,1,26.8,"26,64",0,Presencial,Yape,3,90.33,Promocion,Sede 7,Comas,este,Paquete mediano,Regular,26.64,pedro huaman,Los Olivos,Nuevo,2025-10-17
272,2026-05-23,2,"12,46","51,69",0,Telefono,Plin,1,94.31,OK,Sede 6,Surco,centro,Fragil,  Especial ,51.69,Raul Salazar,Lima,Premium,2025-03-04
