id_reserva,fecha_operacion,cantidad_habitaciones,noches_estadia,tarifa_noche,descuento_pct,canal,metodo_pago,calificacion,monto_reserva,observacion,hoteles_nombre,hoteles_distrito,hoteles_zona,habitaciones_nombre,habitaciones_categoria,habitaciones_tarifa_noche,huespedes_nombre,huespedes_distrito,huespedes_segmento,huespedes_fecha_registro
131,2026-04-08,1,2,369.86,0,  Web ,Transferencia, 4 ,401.45,Revisar,Hotel 7,  Miraflores ,  Oeste ,Habitacion vista mar,,369.86,Camila Salazar,San Juan de Lurigancho,corporativo,2025-02-05
132,2026-05-23,7,4,369.86,20,WhatsApp,Tarjeta,5,432.34,Cliente frecuente,Hotel 6,Callao,Este,Habitacion vista mar,,369.86,Valeria Paredes,VeNtAnIlLa,Corporativo,2025-10-10
133,2026-06-03,3, 6 ,159.18,20,WhatsApp,Plin,2,256.67,Revisar,Hotel 7,  Miraflores ,  Oeste ,Doble,estandar,159.18,Pedro  Flores,san juan de lurigancho,Frecuente,2025-12-08
134,,4,1,290.5,10,Presencial,Plin,4,351.98,OK,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Valeria Vargas,San  Juan  de  Lurigancho,Premium,2025-02-19
135,09/02/2026,6,4,158.16,5 aprox,whatsapp,TrAnSfErEnCiA,3,258.2,Promocion,Hotel 4,Independencia,Norte,Matrimonial,estandar,158.16,Elena Reyes,Ate,Regular,2025-07-10
136,2026-03-11,6, 2 ,262.79,20 aprox,Presencial,Efectivo, 2 ,377.62,,Hotel 5,Lima,Norte,FAMILIAR,  Familiar ,262.79,Raul Ramos,Los Olivos,Regular,2025-04-23
137,2026-04-12,8,9,S/ 290.5,5,,Plin,1,403.53,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Miguel Gomez,  Los Olivos ,Nuevo,2025-12-28
138,2026-04-07,6,1,88.18,15,Presencial,Transferencia,4,,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Diana Ramos,Villa El Salvador,Corporativo,2025-09-15
139,2026-02-23,2,10,324.45,0,WhatsApp,Tarjeta,3,348.27,promocion,Hotel 3,Comas,Este,Suite junior,Suite,324.45,Andre  Mendoza,Callao,Regular,2025-06-02
140,2026-01-22,,9,351.23,0,WhatsApp,Yape,3,463.99 aprox,Promocion,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
141,2026-02-06, 2 ,5 aprox,"351,23",12,Telefono,Transferencia,1,392.32,,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Camila Torres,callao,Frecuente,2025-12-06
142, 2026-06-18 ,5,5,369.86 aprox,0,Web,Yape,4,461.74,Promocion,Hotel 6,Callao,Este,Habitacion vista mar,,369.86,Maria Gomez,SaN JuAn dE LuRiGaNcHo,Frecuente,2025-06-20
143,2026-02-05,1,3,324.45, 15 ,Telefono,Plin,2,1447.52,Promocion,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,,San Miguel,Regular,2025-02-18
144,2026-03-19,4,6,88.18, 20 ,Telefono,Tarjeta,5,271.22,Cliente frecuente,Hotel 5,Lima,Norte,Simple,Estandar,88.18,Andre Soto,Ventanilla,  Frecuente ,2025-02-08
145,2026-02-11,4,8 aprox,"159,18",8,Presencial,Plin,5,241.74,,Hotel 3,Comas,Este,Doble,estandar,159.18,Miguel Huaman,Villa El Salvador,premium,2025-05-16
146,2026-04-16,7,5,369.86,0,web,Plin,5,526.93,REVISAR,Hotel 7,  Miraflores ,  Oeste ,Habitacion vista mar,,369.86,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
147,2026-04-28,1 aprox,10,351.23 aprox,15,App,Efectivo,2,416.86,,Hotel 1,LOS OLIVOS,Centro,Bungalow,Especial,351.23,Jorge Quispe,Chorrillos,Regular,2025-12-25
148,2026/03/27,5,5,158.16,0,Web,Tarjeta,4,255.28,,Hotel 1,LOS OLIVOS,Centro,Matrimonial,estandar,158.16,Victor Quispe,Ate,Regular,2025-11-07
149,2026-04-25,1,10 aprox,425.95 aprox,8,WhatsApp,Yape,1,460.0,,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Jorge Quispe,Chorrillos,Regular,2025-12-25
150,2026-02-03,3,2,88.18,20,Telefono,  Plin ,1,122.01,Promocion,Hotel 3,Comas,Este,Simple,Estandar,88.18,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
151,2026-05-25, 3 ,6 aprox,262.79,15,Presencial,PlIn,1,309.97,,Hotel 1,LOS OLIVOS,Centro,FAMILIAR,  Familiar ,262.79,Claudia Flores,San Miguel,Premium,2025-11-12
152,2026-06-12,3,5,369.86,8,Presencial,tarjeta,2, 450.51 ,OK,Hotel 1,LOS OLIVOS,Centro,Habitacion vista mar,,369.86,Maria Soto,San Miguel,FRECUENTE,2025-11-02
153,2026-06-14,6,8,88.18,8,Telefono,EFECTIVO,4,165.71,,Hotel 3,Comas,Este,Simple,Estandar,88.18,Valeria Vargas,San  Juan  de  Lurigancho,Premium,2025-02-19
154,2026-01-26,7,6,159.18,0,Presencial,Transferencia,2,266.45,Cliente frecuente,Hotel 3,Comas,Este,Doble,estandar,159.18,CaRlOs fLoReS,San Miguel,CORPORATIVO,2025-01-14
155,2026-02-07,3,3,324.45,15,Presencial,Efectivo,2,433.62,,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Lucia Mendoza,Ate,Corporativo,2025-05-28
156,2026-04-14,5,1,290.5,0,Telefono,Yape,2,397.3,Promocion,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Jorge Salazar,Los Olivos,Nuevo,2025-06-21
157,2026-02-15,6, 3 ,425.95,0,,Efectivo,4,531.25,Cliente frecuente,Hotel 7,  Miraflores ,  Oeste ,Suite  ejecutiva,suite,425.95,Diana Cruz,La Molina,Corporativo,2025-06-02
158,2026-04-17,4,3,159.18,5,WhatsApp,Yape,2,273.91,,Hotel 2,SAN MIGUEL,  Oeste ,Doble,estandar,159.18,Claudia Flores,San Miguel,Premium,2025-11-12
159,2026-04-04,2,7,425.95,15,WhatsApp,Efectivo,2,512.82,OK,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Diana Campos,Ventanilla,Regular,2025-11-08
160,2026-04-18,3,5,262.79, 5 ,Telefono,Yape,5,411.21,promocion,Hotel 7,  Miraflores ,  Oeste ,FAMILIAR,  Familiar ,262.79,Victor Quispe,Ate,Regular,2025-11-07
161,,7,5,88.18 aprox,10 aprox,WhatsApp,Plin,5,206.82,Revisar,Hotel 7,  Miraflores ,  Oeste ,Simple,Estandar,88.18,Jose Flores,La Molina,Regular, 2025-08-15 
162,2026-06-11,2,10,159.18 aprox,20,WhatsApp,Transferencia,4,299.86,Revisar,Hotel 3,Comas,Este,Doble,estandar,159.18,Miguel Huaman,Villa El Salvador,premium,2025-05-16
163,2026-04-01,4,,262.79,5,WhatsApp,,3,,Cliente frecuente,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Andre Mendoza,La Molina,Frecuente,2025-09-13
164,2026-05-08,3,4, 290.5 ,0,Telefono,Yape,5,279.34,ok,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Fiorella Campos,Los Olivos,,2025-02-01
165,23/03/2026, 6 ,10,88.18,15,Presencial,Yape,2,198.31,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Lucia Mendoza,Ate,Corporativo,2025-05-28
166,2026-05-05,8,,S/ 351.23, 0 ,TELEFONO,Plin,1,452.04,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Bungalow,Especial,351.23,Elena Flores,Miraflores,Corporativo,2025-11-09
167,2026-01-27,8,6,324.45 aprox,0,Web,Transferencia,1,453.09,Promocion,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Diego Cruz,Miraflores,CORPORATIVO,2025-04-14
168,2026-04-03,2,5,158.16,0,Web,Tarjeta,5,214.29,OK,Hotel 6,Callao,Este,Matrimonial,estandar,158.16,Jorge Reyes,Callao,Corporativo,2025-11-26
169,2026-03-24,2,2,159.18,8,ApP,Efectivo,3,254.45,,Hotel 6,Callao,Este,Doble,estandar,159.18,Victor Quispe,Ate,Regular,2025-11-07
170,2026-03-01,7,7,425.95,0,Telefono,  Plin ,3,"547,4",Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,Suite  ejecutiva,suite,425.95,ElEnA ReYeS,Ate,Regular,2025-11-26
171,10/06/2026,5,1,425.95,12,Telefono,Transferencia,3,545.41,Promocion,Hotel 6,Callao,Este,Suite  ejecutiva,suite,425.95,Claudia Rojas,Callao,Corporativo,2025-12-01
172,2026-05-27,2,10,158.16,12,WhatsApp,Efectivo,4,317.28,,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Claudia Rojas,Callao,Corporativo,2025-12-01
173,14-05-2026,2,2,351.23,20,presencial,Yape,1,400.38,Revisar,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Miguel Huaman,Villa El Salvador,premium,2025-05-16
174,2026-04-05,1,10,351.23 aprox,,Web,Yape,5,527.73,,Hotel 5,Lima,Norte,Bungalow,Especial,351.23,Victor Reyes,Miraflores,NUEVO,2025-10-20
175,2026-06-19,7,3,351.23 aprox,8,WhatsApp,Tarjeta,4,456.93,,Hotel 2,SAN MIGUEL,  Oeste ,Bungalow,Especial,351.23,Maria Soto,San Miguel,FRECUENTE,2025-11-02
176,2026-02-25, 1 ,2 aprox,324.45,12,presencial,Efectivo,4 aprox,364.46,REVISAR,Hotel 5,Lima,Norte,Suite junior,Suite,324.45,Fiorella Reyes,independencia,Premium,2025-01-25
177,13/01/2026,8,3,351.23,5,Presencial,Yape,1,483.82,,Hotel 6,Callao,Este,Bungalow,Especial,351.23,Valeria Huaman,miraflores,NuEvO,2025-01-22
178,2026-01-09,1,1,324.45,15 aprox,Telefono,Yape,1,351.9,OK,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,,Surco,Premium,2025-12-25
179,2026-05-12,8, 10 ,290.5,8,Web,Tarjeta,5,385.63,OK,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
180,2026-03-18,7,2,,10,TeLeFoNo,Plin,4,512.66,,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
181,2026/05/25,3,10,324.45,8,Presencial,Yape,4 aprox,382.01,OK,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,Sofia Ramos,Surco,Corporativo,2025-02-03
182,2026-06-15,,6,324.45,0,Presencial,Transferencia,3,458.11,Revisar,Hotel 7,  Miraflores ,  Oeste ,Suite junior,Suite,324.45,Valeria Huaman,miraflores,NuEvO,2025-01-22
183,2026-05-02,8, 6 ,290.5,5,WhatsApp,yape,5,469.49,,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Salazar,San Miguel,Corporativo,2025-05-21
184,2026-01-19,3,6 aprox,S/ 88.18,12,  Web ,Tarjeta,3, 174.49 ,OK,Hotel 7,  Miraflores ,  Oeste ,Simple,Estandar,88.18,Raul Ramos,Los Olivos,Regular,2025-04-23
185,2026-06-13,2,8,290.5,0,App,,2,354.6,OK,Hotel 3,Comas,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
186,2026-01-03,6,5,"369,86",0,Web,Plin,5,527.57,Revisar,Hotel 4,Independencia,Norte,Habitacion vista mar,,369.86,Andre Mendoza,La Molina,Frecuente,2025-09-13
187,2026-06-16,8,7,88.18, 8 ,Telefono,Transferencia,2,273.54,,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Ana Ramos,SaN MiGuEl,Premium,2025-03-02
188,2026-03-26,2,10,290.5 aprox,10,Web,Transferencia,1,374.09,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Ana Ramos,SaN MiGuEl,Premium,2025-03-02
189,2026-01-20,7,1,324.45,12 aprox,Telefono,Efectivo,1,"436,62",Cliente frecuente,Hotel 6,Callao,Este,Suite junior,Suite,324.45,Camila Navarro,CoMaS,Regular,2025/08/25
190,2026-05-13,1,8, 351.23 ,5,APP,,4,403.53,,Hotel 1,LOS OLIVOS,Centro,Bungalow,Especial,351.23,Victor Castillo,  Ventanilla ,Nuevo,2025-08-24
191,2026-05-08,7,4,"290,5",8,App,Yape,4,422.33,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Pedro Quispe,Ate,Regular,2025-06-04
192,,1,,88.18,5,TELEFONO,  Efectivo , 4 ,170.34,Cliente frecuente,Hotel 3,Comas,Este,Simple,Estandar,88.18,Maria Soto,San Miguel,FRECUENTE,2025-11-02
193,2026-01-14,2,5,369.86,5,TeLeFoNo,Plin,1,419.2,Promocion,Hotel 5,Lima,Norte,Habitacion vista mar,,369.86,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
194,2026-05-24,3,3,324.45,0,Telefono,Plin,1,444.14,,Hotel 6,Callao,Este,Suite junior,Suite,324.45,Fiorella Campos,Los Olivos,,2025-02-01
195,2026-01-23,2,2,159.18,0,WhatsApp,  Transferencia ,,200.67,,Hotel 4,Independencia,Norte,Doble,estandar,159.18,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
196,2026-04-06,4,7,158.16,12,WhatsApp,Transferencia,,245.78,ClIeNtE FrEcUeNtE,Hotel 6,Callao,Este,Matrimonial,estandar,158.16,Ana Mendoza,Independencia,,2025-06-19
197,2026-06-09,7, 1 ,425.95,0,App,Transferencia,3,520.05,Promocion,Hotel 7,  Miraflores ,  Oeste ,Suite  ejecutiva,suite,425.95,Jorge Navarro,Comas,Nuevo,2025-09-23
198,2026-05-08,5,2,159.18,20,Telefono,Efectivo,3, 213.61 ,Revisar,Hotel 5,Lima,Norte,Doble,estandar,159.18,Fiorella Ramos,Independencia,Premium,2025-05-21
199,2026-03-18,8, 6 ,369.86 aprox,12,WhatsApp,Tarjeta,1 aprox,493.1,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Habitacion vista mar,,369.86,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
200,2026-01-15,4,9,351.23,12,Web,Yape,5,498.93,OK,Hotel 3,Comas,Este,Bungalow,Especial,351.23,Claudia Quispe,Independencia,Regular,2025-11-16
201,2026-06-24,8,6,369.86,0,Web,Efectivo,4,539.01,Revisar,Hotel 1,LOS OLIVOS,Centro,Habitacion vista mar,,369.86,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
202, 2026-03-12 ,7, 3 ,,5,Telefono,Tarjeta,3,327.0,OK,Hotel 1,LOS OLIVOS,Centro,Doble,estandar,159.18,Elena Campos,Ventanilla,Premium,2025-12-21
203,2026-06-02,1,7,262.79,0,Presencial,Plin,5, 321.44 ,  Cliente frecuente ,Hotel 5,Lima,Norte,FAMILIAR,  Familiar ,262.79,Andre Cruz,SURCO,Nuevo,2025-04-02
204,2026-06-18,3,3,425.95,0,Web,Efectivo,2,"488,32",,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Ana Ramos,SaN MiGuEl,Premium,2025-03-02
205,2026-06-11,2,10,159.18 aprox,20,WhatsApp,Transferencia,4,299.86,Revisar,Hotel 3,Comas,Este,Doble,estandar,159.18,Miguel Huaman,Villa El Salvador,premium,2025-05-16
206,2026-06-18,7,9,351.23,8,WEB,Yape,4,559.07,REVISAR,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
207,2026-01-21,5,1,,20,Telefono,Tarjeta,5,386.21,Cliente frecuente,Hotel 6,Callao,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Camila Navarro,CoMaS,Regular,2025/08/25
208,24-04-2026,8,8,369.86,0,Presencial,Plin,5,511.87,Promocion,Hotel 4,Independencia,Norte,Habitacion vista mar,,369.86,Jorge Reyes,Callao,Corporativo,2025-11-26
209,2026-05-23,8,7,351.23,12,App,Tarjeta,5,578.65,,Hotel 7,  Miraflores ,  Oeste ,Bungalow,Especial,351.23,Marco Soto,Callao,Corporativo,2025-04-02
210,2026-06-14,,6,S/ 425.95,15,  Web ,Efectivo,2,647.07,,Hotel 5,Lima,Norte,Suite  ejecutiva,suite,425.95,Andre Rojas,CHORRILLOS,Corporativo,2025-08-26
211,2026-05-08,7,2,290.5,0,Presencial,Transferencia,1,405.42,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Miguel Campos,Villa  El  Salvador,Nuevo,2025-08-26
212,2026-01-05,3,9,88.18,12,App,YAPE,2,185.66,OK,Hotel 6,Callao,Este,Simple,Estandar,88.18,Camila Navarro,CoMaS,Regular,2025/08/25
213,2026-06-21,6,7,324.45,10,App,,1,442.33,REVISAR,Hotel 5,Lima,Norte,Suite junior,Suite,324.45,Camila Sayan,Independencia,Nuevo,10-05-2025
214,2026/03/03,6,9,158.16,5,WhatsApp,Plin,5, 412.36 ,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Jorge Navarro,Comas,Nuevo,2025-09-23
215, 2026-01-26 ,2,7,S/ 290.5,0,Web,Transferencia,2,405.49,,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Miguel Gomez,  Los Olivos ,Nuevo,2025-12-28
216,2026-04-04,2,1,324.45,5,Presencial,Plin,1,364.6,Revisar,Hotel 6,Callao,Este,Suite junior,Suite,324.45,,Surco,Premium,2025-12-25
217,2026-06-05,8,7,290.5,0,WhatsApp,Plin,2,501.11,,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Lucia Mendoza,Ate,Corporativo,2025-05-28
218,,,8,158.16,12,Telefono,  Efectivo ,5,254.71,,Hotel 2,SAN MIGUEL,  Oeste ,Matrimonial,estandar,158.16,Jorge Navarro,Comas,Nuevo,2025-09-23
219,2026-02-12,8,4, 262.79 ,0,App,Yape,5,379.89,OK,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Ana Salazar,Lima,nuevo, 2025-12-01 
220,2026-04-06,8,10,158.16,20,Telefono,Efectivo,2,,Cliente frecuente,Hotel 4,Independencia,Norte,Matrimonial,estandar,158.16,Sofia Ramos,Surco,Corporativo,2025-02-03
221,2026-01-15,8,3,262.79,15,App,Plin,3,331.41,promocion,Hotel 7,  Miraflores ,  Oeste ,FAMILIAR,  Familiar ,262.79,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
222,2026/04/03,4,2,425.95,0,WhatsApp,Efectivo,5,499.65 aprox,PrOmOcIoN,Hotel 1,LOS OLIVOS,Centro,Suite  ejecutiva,suite,425.95,Sofia Torres,MIRAFLORES,Nuevo,2025-01-15
223,18-03-2026,1,3,425.95,20,Web,efectivo,4,,,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Pedro Navarro,Lima,Nuevo,2025-11-14
224,2026-06-14,1,5,262.79,0,TeLeFoNo,Plin,5,"239,76",Promocion,Hotel 4,Independencia,Norte,FAMILIAR,  Familiar ,262.79,Ana Salazar,Lima,nuevo, 2025-12-01 
225,2026-05-21,5 aprox,8,S/ 351.23,15,App,Transferencia,2,465.91,Cliente frecuente,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Diego Flores,La mOlInA,  Frecuente ,2025-07-06
226,2026-04-04,3,5,262.79,10 aprox,  Web ,Yape,1,359.96,Promocion,Hotel 3,Comas,Este,FAMILIAR,  Familiar ,262.79,Camila Navarro,CoMaS,Regular,2025/08/25
227,2026-06-27,8,7,324.45,10 aprox,Presencial,Tarjeta,1,471.89,OK,Hotel 3,Comas,Este,Suite junior,Suite,324.45,,San Miguel,Regular,2025-02-18
228,2026-01-18, 7 ,9,369.86,0,Web,Tarjeta,5,524.09,,Hotel 4,Independencia,Norte,Habitacion vista mar,,369.86,Jorge Navarro,Comas,Nuevo,2025-09-23
229,2026-02-20,8,8,158.16,15,WhatsApp,Efectivo,4,297.35,,Hotel 3,Comas,Este,Matrimonial,estandar,158.16,claudia navarro,Villa El Salvador,Frecuente,2025-03-01
230,2026-04-24,1,36.92,425.95,12,WhatsApp,Transferencia,4,591.39,,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Miguel Gomez,  Los Olivos ,Nuevo,2025-12-28
231,,1,5,"351,23",0,Web,Tarjeta,5,357.13,Cliente frecuente,Hotel 4,Independencia,Norte,Bungalow,Especial,351.23,Claudia Sayan,  Villa El Salvador ,Corporativo,2025-06-07
232,2026-03-26,6,3,159.18,5,Web,Transferencia,2,269.54,,Hotel 5,Lima,Norte,Doble,estandar,159.18,Elena Reyes,Independencia,Frecuente,2025-09-21
233,2026-01-12,5,1,"158,16",0,WhatsApp,Efectivo,3,"265,12",Revisar,Hotel 3,Comas,Este,Matrimonial,estandar,158.16,Diana Campos,Ventanilla,Regular,2025-11-08
234,2026-02-19,5,1,290.5,12,WhatsApp,Yape,4,263.73,Cliente frecuente,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Victor Reyes,Miraflores,NUEVO,2025-10-20
235,2026-03-14,6,10,290.5,20,Web,Yape,5,378.56,Revisar,Hotel 7,  Miraflores ,  Oeste ,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
236,2026-02-16,4,6,262.79,0,  App ,Yape,,369.45,Promocion,Hotel 7,  Miraflores ,  Oeste ,FAMILIAR,  Familiar ,262.79,,Surco,Premium,2025-12-25
237,2026-06-07,6,3,88.18 aprox,15,  WhatsApp ,Plin,4,243.21,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Sofia Huaman,Chorrillos,Corporativo,2025-03-04
238,2026-06-08,1,10,159.18,0,Presencial,Plin,3,238.51,Cliente frecuente,Hotel 6,Callao,Este,Doble,estandar,159.18,Camila Soto,San Juan de Lurigancho,Regular,2025-04-07
239,24-03-2026,1,4,262.79,0,App,Plin,5,,Revisar,Hotel 2,SAN MIGUEL,  Oeste ,FAMILIAR,  Familiar ,262.79,Rocio Campos,  Ventanilla ,Frecuente,2025-09-28
240,26/01/2026,7,2,S/ 369.86,15,Telefono,efectivo,4,,,Hotel 6,Callao,Este,Habitacion vista mar,,369.86,Fiorella Castillo,La Molina,  Corporativo ,2025-08-26
241,2026-05-13,6,9,S/ 262.79,12,WeB,Efectivo,,361.3,promocion,Hotel 7,  Miraflores ,  Oeste ,FAMILIAR,  Familiar ,262.79,Jorge Navarro,Independencia,Corporativo,2025-07-06
242,2026-05-05,4,6,158.16,5,  App ,Tarjeta,1,261.9,OK,Hotel 6,Callao,Este,Matrimonial,estandar,158.16,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
243,2026-06-06,3,4 aprox,324.45,0,Telefono,Tarjeta,4,356.17,  OK ,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,Pedro  Flores,san juan de lurigancho,Frecuente,2025-12-08
244,2026-04-01,5,5,369.86,0,Telefono,Efectivo,4,403.56,OK,Hotel 5,Lima,Norte,Habitacion vista mar,,369.86,Elena Flores,Miraflores,Corporativo,2025-11-09
245,2026-06-13, 3 ,6,S/ 369.86,12,Presencial,Tarjeta,5,417.23,Promocion,Hotel 2,SAN MIGUEL,  Oeste ,Habitacion vista mar,,369.86,Claudia Sayan,  Villa El Salvador ,Corporativo,2025-06-07
246,,8,1,,8,WhatsApp,Transferencia,4,480.19,,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Diego Salazar,San  Juan  de  Lurigancho,Frecuente,2025-09-20
247,2026-02-14,7,4,158.16,0,WhatsApp,Tarjeta,5,334.97,OK,Hotel 5,Lima,Norte,Matrimonial,estandar,158.16,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
248,2026-02-05,1,7,290.5 aprox,12,App,Efectivo,1,370.72,Promocion,Hotel 5,Lima,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Victor Campos,Lima,frecuente,2025-03-03
249,2026-05-08,7,2,290.5,0,Presencial,Transferencia,1,405.42,Cliente frecuente,Hotel 1,LOS OLIVOS,Centro,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Miguel Campos,Villa  El  Salvador,Nuevo,2025-08-26
250,2026-05-07, 2 ,3,290.5,5,App,Yape,3,354.35,Promocion,Hotel 3,Comas,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
251,2026-06-22,7,9,290.5,12,Web,Tarjeta,4,499.42,Revisar,Hotel 4,Independencia,Norte,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Andre Quispe,  Miraflores ,corporativo,2025-01-27
252,2026-02-09,5,10 aprox,425.95,12,whatsapp,Plin,1,,Promocion,Hotel 1,LOS OLIVOS,Centro,Suite  ejecutiva,suite,425.95,Jorge Reyes,Callao,Corporativo,2025-11-26
253,2026-05-28,,8,369.86,0,Presencial,efectivo, 4 ,484.17,Cliente frecuente,Hotel 5,Lima,Norte,Habitacion vista mar,,369.86,Jose Flores,La Molina,Regular, 2025-08-15 
254,2026-02-15,3,5,324.45 aprox, 5 ,PrEsEnCiAl,Efectivo,1,347.32,Promocion,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Diana Castillo,lima,Corporativo,2025-08-12
255,2026-06-09,7,7,324.45 aprox,12,Presencial,EFECTIVO,1,461.5,,Hotel 1,LOS OLIVOS,Centro,Suite junior,Suite,324.45,Diego Cruz,Miraflores,CORPORATIVO,2025-04-14
256,2026-04-18,1,4,351.23, 0 ,Web,Efectivo,1,379.06,,Hotel 6,Callao,Este,Bungalow,Especial,351.23,Camila Salazar,San Juan de Lurigancho,corporativo,2025-02-05
257,2026-03-08,6,7,159.18,12,  Web ,TrAnSfErEnCiA,5,239.47,Cliente frecuente,Hotel 4,Independencia,Norte,Doble,estandar,159.18,,Surco,Premium,2025-12-25
258,2026-01-18,2,10,290.5,15,WhatsApp,Plin,3,418.33,,Hotel 6,Callao,Este,HaBiTaCiOn bUsInEsS,Ejecutiva,290.5,Fiorella Gomez,Chorrillos,Premium, 2025-07-22 
259,2026-04-08,4,1,425.95, 10 ,Presencial,Efectivo,1,531.68,Promocion,Hotel 3,Comas,Este,Suite  ejecutiva,suite,425.95,Jorge Navarro,Comas,Nuevo,2025-09-23
260,2026-02-18, 2 ,6,262.79,15,Telefono,Yape,5 aprox,365.01,,Hotel 5,Lima,Norte,FAMILIAR,  Familiar ,262.79,Jorge Reyes,Callao,Corporativo,2025-11-26
261,2026-01-05,2,9,324.45,12 aprox,Web,Transferencia,5,401.17,Revisar,Hotel 4,Independencia,Norte,Suite junior,Suite,324.45,Camila Navarro,CoMaS,Regular,2025/08/25
262,2026-05-14,4,10,88.18,12,web,Efectivo,4,,CLIENTE FRECUENTE,Hotel 2,SAN MIGUEL,  Oeste ,Simple,Estandar,88.18,Camila Torres,callao,Frecuente,2025-12-06
