id_registro,fecha_operacion,clases_tomadas,asistencias_mes,tarifa_plan,descuento_pct,canal,metodo_pago,calificacion,pago_mensual,observacion,sedes_nombre,sedes_distrito,sedes_zona,planes_nombre,planes_categoria,planes_tarifa_plan,socios_nombre,socios_distrito,socios_segmento,socios_fecha_registro
143,2026-02-26,3,2,137.44,10,Telefono,Efectivo,3,179.01,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Plan premium,Mensual,137.44,Diego Castillo,Ventanilla,Frecuente,2025-05-09
144,2026-04-16,2,19,127.31,12,Presencial,TaRjEtA,4,S/ 162.79,Revisar,Sede 5,Villa El Salvador,Centro,Cross training,Especial,127.31,Ana Quispe,Ate,Regular,2025-06-20
145,2026-06-01,2,19,137.44,15,Web,Yape,4,S/ 191.66,Promocion,Sede 5,Villa El Salvador,Centro,Plan premium,Mensual,137.44,Lucia Paredes,AtE,ReGuLaR, 2025-08-01 
146,2026-01-09,3,14,117.96,20,WhatsApp,efectivo,2,174.25,OK,Sede 7,Ventanilla,,,MeNsUaL,117.96,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
147,2026-05-10,2,22,196.44,5,Telefono,Tarjeta,5,246.12,,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,Maria Cruz,ate,Frecuente,2025-05-12
148,2026-01-09,4,6,210.83,8,Web,TrAnSfErEnCiA,4,218.5,Cliente frecuente,Sede 7,Ventanilla,,Personalizado,Premium,210.83,Maria Cruz,Chorrillos,Premium,2025-10-28
149,2026-05-15,2,21, 137.44 ,15,WhatsApp,Transferencia,4,199.18,,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
150,2026-03-18,6,24,196.44,12,  App ,Efectivo,3,"244,87",OK,Sede 5,Villa El Salvador,Centro,Plan familiar,Familiar,196.44,Camila Flores,lima,Corporativo,2025-03-22
151,2026-03-27,2, 5 ,71.82,,WHATSAPP,Transferencia,3,127.21,Cliente frecuente,Sede 5,Villa El Salvador,Centro,Plan basico,Mensual,71.82,Lucia Navarro,Miraflores,Regular,2025-07-10
152,2026-05-22,4,18,127.31 aprox,0,Presencial,Yape,5,S/ 158.16,,Sede 6,Surco,Este,Cross training,Especial,127.31,Diana Cruz,San Juan de Lurigancho,Regular,2025-02-25
153,2026-05-09,4,16,210.83,8,Presencial,Yape,5,279.95,Revisar,Sede 4,Comas,Oeste,Personalizado,Premium,210.83,Marco Flores,Miraflores,Frecuente,05/02/2025
154,2026-06-28,6,12,98.26,12,WhatsApp,Transferencia,4,151.75,Promocion,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Diego Castillo,miraflores,Frecuente,2025-07-22
155,2026-05-05,2,4,127.31,10,telefono,Transferencia,2,131.91,,Sede 3,Miraflores,Centro,Cross training,Especial,127.31,Sofia Campos,Lima,Corporativo,2025-06-09
156,2026-04-15,1,23,55.86 aprox,10,Presencial,Efectivo,5,"115,18",,Sede 2,Callao,Oeste,Plan estudiante,,55.86,FiOrElLa cAmPoS,Lima,Nuevo,2025-08-23
157,02-02-2026,4,20,127.31,0,WHATSAPP,Efectivo,4,188.81,,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Carlos Vargas,Los Olivos,Regular,02-09-2025
158,2026-06-14,3,20,117.96,10,Presencial,Plin,1,171.49,,Sede 4,Comas,Oeste,,MeNsUaL,117.96,Victor Quispe,Miraflores,Premium,2025-04-25
159,2026-03-05,1,23 aprox,55.86,,Presencial,plin,3,129.38,,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Fiorella Vargas,Lima,nuevo,2025-01-14
160,2026-06-12,3,27,98.26,12,Telefono,Plin,2,175.49 aprox,Cliente frecuente,Sede 6,Surco,Este,FuNcIoNaL,Especial,98.26,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
161,2026-05-26,4,20,55.86,20,WhatsApp,Transferencia,2,128.58 aprox,Cliente  frecuente,Sede 5,Villa El Salvador,Centro,Plan estudiante,,55.86,Fiorella Vargas,Lima,nuevo,2025-01-14
162,,8, 21 ,71.82 aprox,0,Web,Tarjeta,3,150.48,OK,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Miguel Salazar,AtE,Regular,2025-09-16
163,2026-04-16,,11,55.86,0,WhatsApp,Transferencia,4,106.9,Revisar,Sede 6,Surco,Este,Plan estudiante,,55.86,Maria Cruz,ate,Frecuente,2025-05-12
164,2026/06/02,2,7,210.83,15,WhatsApp,Plin,1,781.44,Revisar,Sede 4,Comas,Oeste,Personalizado,Premium,210.83,Ana Flores,  San Juan de Lurigancho ,Frecuente,2025-09-03
165,2026-05-02,5,22,71.82,20,WEB,Efectivo,5,171.71 aprox,Promocion,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Camila Salazar,San Miguel,Nuevo,2025-02-16
166,2026-04-12,4,21,127.31,20,,TARJETA,4,165.5,Cliente frecuente,Sede 7,Ventanilla,,Cross training,Especial,127.31,Valeria Huaman,Villa  El  Salvador,Corporativo,2025-07-06
167,06/01/2026,,4,"98,26",10,Telefono,YaPe,3,125.92,,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Valeria Torres,,Nuevo,2025-05-20
168,2026-01-07,8,26,"210,83",5,Web,Tarjeta,1,276.77,,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Claudia Vargas,Miraflores,Corporativo,2025-07-03
169,,3,27,88.04,15,Web,Yape,4,161.14,OK,Sede 4,Comas,Oeste,Yoga,Especial,88.04,RaUl cAsTiLlO,Independencia,  Premium ,2025-08-17
170,2026-02-28,7,5,210.83 aprox,15,presencial,Yape,1 aprox,S/ 238.45,,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Marco Flores,Chorrillos,Regular,2025-10-01
171,2026-06-08,8,4,137.44,10 aprox,App,Transferencia,2,171.13,OK,Sede 3,Miraflores,Centro,Plan premium,Mensual,137.44,Andre Torres,villa el salvador,REGULAR,2025-11-16
172,2026-05-02,2,13,88.04,0,Web,Transferencia,1,126.6,Cliente frecuente,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Sofia Campos,Lima,Corporativo,2025-06-09
173,2026-02-19,7,11,137.44,20,web,Yape,2,188.95,cliente frecuente,Sede 1,Ate,Este,Plan premium,Mensual,137.44,Elena Rojas,Villa El Salvador,Regular,2025-07-22
174,2026-02-11,3,23,88.04,0,WhatsApp,Transferencia,1,147.14,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Camila Salazar,San Miguel,Nuevo,2025-02-16
175,2026-03-08,3,7,98.26, 0 ,Telefono,Efectivo,1, 149.15 ,,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
176,2026-06-06,3,20,196.44,10,web,Plin,2,226.39,Promocion,Sede 4,Comas,Oeste,Plan familiar,Familiar,196.44,Ana Quispe,Ate,Regular,2025-06-20
177,2026-04-10,6,61.22,196.44,0,Web,Transferencia,4,,Promocion,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,Valeria Huaman,Villa  El  Salvador,Corporativo,2025-07-06
178,2026-02-24,6,24,88.04,0,Telefono,Transferencia,2,165.27,REVISAR,Sede 6,Surco,Este,Yoga,Especial,88.04,Marco Flores,Miraflores,Frecuente,05/02/2025
179,2026-02-26,2,15,88.04,0,Presencial,Plin,2,149.61,Revisar,Sede 7,Ventanilla,,Yoga,Especial,88.04,Pedro Ramos,Chorrillos,Regular,2025-09-12
180,2026-04-16,5,27,71.82, 0 ,Presencial,Yape,4,188.14,OK,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Ana Sayan,Independencia,Frecuente,2025-05-01
181,2026-04-22,8,25,88.04,0,WhatsApp,PlIn,2,223.45,OK,Sede 6,Surco,Este,Yoga,Especial,88.04,Jorge Castillo,Comas,Nuevo,2025-06-17
182,2026-02-09,5,23,88.04,20,WhatsApp,Transferencia,4,150.44,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Camila Flores,lima,Corporativo,2025-03-22
183,19/02/2026,3,12,,0,Presencial,transferencia,3,165.55,,Sede 1,Ate,Este,Cross training,Especial,127.31,Diana Cruz,La Molina,Premium,21-07-2025
184,2026-04-04,8,26,88.04,15,Web,Transferencia,1,176.24,Revisar,Sede 1,Ate,Este,Yoga,Especial,88.04,Diego Castillo,Ventanilla,Frecuente,2025-05-09
185,2026-01-07,7,3,137.44,,Telefono,Transferencia,2,153.66,OK,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Carlos Soto,Lima,Regular,2025-12-20
186,2026-02-18,,3 aprox,210.83,15,Presencial,Plin,2,236.2,Cliente frecuente,Sede 1,Ate,Este,Personalizado,Premium,210.83,Miguel Salazar,AtE,Regular,2025-09-16
187,2026-03-03,1,24,117.96,0,Presencial,Plin,5,179.68,Cliente frecuente,Sede 5,Villa El Salvador,Centro,,MeNsUaL,117.96,Sofia Salazar,Ate,Nuevo, 2025-04-06 
188,2026-03-20,3,2,71.82,15,Presencial,Plin,1,,Cliente frecuente,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Elena Rojas,Villa El Salvador,Regular,2025-07-22
189,2026-03-06,1,15,127.31,20,Presencial,Yape, 1 ,164.68,Promocion,Sede 1,Ate,Este,Cross training,Especial,127.31,Fiorella Ramos,Los Olivos,Corporativo,2025-10-02
190,2026-02-03,5,, 196.44 ,0,,EFECTIVO,3,S/ 296.27,Revisar,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Marco Flores,Miraflores,Frecuente,05/02/2025
191,2026-02-14,5,25,71.82,8,App,Transferencia,1,158.22,Promocion,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Sofia Huaman,La Molina,Regular,2025-01-27
192,2026-03-27,5,1,71.82,8,WeB,Plin,1,S/ 92.75,,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Victor Campos,Ventanilla,Premium,2025-05-02
193,2026-02-23,2,21,117.96,0,,Tarjeta,4,195.22,Cliente frecuente,Sede 3,Miraflores,Centro,,MeNsUaL,117.96,Jorge Rojas,CALLAO,Regular,2025-07-03
194, 2026-05-28 ,4,20,55.86,20,Presencial,EFECTIVO,4,152.39,,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Carlos Paredes,Los Olivos,Regular,18-04-2025
195,2026-02-18,7,22,137.44,0,  Presencial ,Tarjeta,1,207.87,Promocion,Sede 7,Ventanilla,,Plan premium,Mensual,137.44,Luis Torres,Ventanilla,Nuevo, 2025-06-03 
196,2026-04-11,7,25,196.44 aprox,15,Telefono,Tarjeta,1,257.82,ReViSaR,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,,,Premium,2025-08-18
197,2026-01-18,7,13,210.83,0,Telefono,PlIn,4 aprox,264.02,,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Fiorella Campos,Los Olivos,Nuevo,2025-06-13
198,2026-04-16,2,4,"88,04",15,  Presencial ,Transferencia,3,108.24,Cliente frecuente,Sede 4,Comas,Oeste,Yoga,Especial,88.04,Marco Flores,Miraflores,Frecuente,05/02/2025
199,2026-04-15,8,20,137.44, 0 ,whatsapp,Plin,1, 211.18 ,,Sede 6,Surco,Este,Plan premium,Mensual,137.44,Lucia Navarro,Miraflores,Regular,2025-07-10
200,2026/03/02,3,2,71.82,10,App,Efectivo,3,S/ 93.31,Promocion,Sede 6,Surco,Este,Plan basico,Mensual,71.82,Elena Salazar,Surco,  Nuevo ,2025-08-16
201,2026-02-25,4,7,127.31,0,Web,Efectivo,5,173.71,Revisar,Sede 7,Ventanilla,,Cross training,Especial,127.31,Ana Quispe,Ate,Regular,2025-06-20
202,2026-02-17,4,11,210.83,0,Telefono,Tarjeta,1,201.38,Revisar,Sede 7,Ventanilla,,Personalizado,Premium,210.83,Andre Torres,villa el salvador,REGULAR,2025-11-16
203,2026-05-18,2,1,S/ 196.44,12,Web,Efectivo,1 aprox,194.89,Revisar,Sede 4,Comas,Oeste,Plan familiar,Familiar,196.44,Rocio Salazar,Miraflores,Frecuente,2025-02-25
204,2026-01-11,7,13,196.44,5,WHATSAPP,efectivo,3,228.67,OK,Sede 3,Miraflores,Centro,Plan familiar,Familiar,196.44,Jorge Castillo,Comas,Nuevo,2025-06-17
205,2026-04-13,1, 27 ,55.86,12,Telefono,efectivo,5,128.56,,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Carlos Paredes,Los Olivos,Regular,18-04-2025
206,2026-05-01,5,24,196.44,0,Presencial,,3,242.34,Cliente frecuente,Sede 7,Ventanilla,,Plan familiar,Familiar,196.44,Raul Paredes,San Juan de Lurigancho,Corporativo,2025-10-15
207,2026-06-03,2,23,196.44,0,Presencial,Plin,4,255.87 aprox,,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Luis Castillo,Callao,Nuevo,02/05/2025
208,2026-02-03,8,23,210.83,8,Telefono,Plin,3,277.73,Revisar,Sede 1,Ate,Este,Personalizado,Premium,210.83,Sofia Salazar,Ate,Nuevo, 2025-04-06 
209,15/01/2026,1,22,98.26,10,Presencial,Yape,5,149.88,,Sede 2,Callao,Oeste,FuNcIoNaL,Especial,98.26,Rocio Sayan,Chorrillos,Frecuente,2025-03-01
210,2026-02-14,1,21,71.82,,Presencial,Transferencia,5,129.48,Revisar,Sede 7,Ventanilla,,Plan basico,Mensual,71.82,Andre Torres,Ventanilla,Corporativo,2025-11-11
211,2026-02-19,7,18 aprox,137.44,0,Telefono,Efectivo,5,204.21,Promocion,Sede 7,Ventanilla,,Plan premium,Mensual,137.44,Ana Flores,  San Juan de Lurigancho ,Frecuente,2025-09-03
212,2026-04-01, 8 ,22,55.86,8,telefono,Tarjeta,5,142.53,Promocion,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Carlos Rojas,CHORRILLOS,Regular,2025-10-08
213,2026-03-05,7,11,210.83,0,WhatsApp,tarjeta,4,245.67,Promocion,Sede 1,Ate,Este,Personalizado,Premium,210.83,Lucia Soto,Villa El Salvador,Frecuente,2025-12-01
214,2026-02-12,6,13,127.31,0,APP,Yape,2,183.03,Cliente frecuente,Sede 4,Comas,Oeste,Cross training,Especial,127.31,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
215,2026-04-21,8,15,210.83,10,  Telefono ,Tarjeta,3,239.94,ReViSaR,Sede 3,Miraflores,Centro,Personalizado,Premium,210.83,Maria Cruz,Chorrillos,Premium,2025-10-28
216,2026/01/24,5, 4 , 127.31 ,0,WHATSAPP,Tarjeta,1,168.53,cliente frecuente,Sede 7,Ventanilla,,Cross training,Especial,127.31,Victor Quispe,Miraflores,Premium,2025-04-25
217,2026-05-23,2,14,88.04,0,App,Yape,2,117.17,,Sede 4,Comas,Oeste,Yoga,Especial,88.04,Lucia Navarro,Miraflores,Regular,2025-07-10
218,2026-02-15,1, 25 ,"210,83",,App,Transferencia,3,246.51,Promocion,Sede 2,Callao,Oeste,Personalizado,Premium,210.83,Carlos Vargas,Surco,Regular,2025-10-25
219,2026-01-12,1,13, 88.04 ,10,Presencial,yape,5,144.21,Cliente frecuente,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,JoRgE QuIsPe,LiMa,Frecuente,2025-11-03
220,2026-02-02,7,2,137.44,0,Web,Plin,1,165.29,cliente frecuente,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Valeria Soto,INDEPENDENCIA,Premium,2025-11-25
221,2026-02-22,3,1 aprox,117.96,12,Web,Yape,5,131.92,Promocion,Sede 4,Comas,Oeste,,MeNsUaL,117.96,Ana Quispe,Ate,Regular,2025-06-20
222,2026-01-04,4,23,127.31,20,Presencial,Yape,4,"183,62",Promocion,Sede 1,Ate,Este,Cross training,Especial,127.31,RaUl cAsTiLlO,Independencia,  Premium ,2025-08-17
223,2026-01-16,2,12,196.44,0,Presencial,Yape,3,213.94,Revisar,Sede 6,Surco,Este,Plan familiar,Familiar,196.44,RaUl cAsTiLlO,Independencia,  Premium ,2025-08-17
224,2026/02/03,2,26,"71,82",15,Telefono,Yape,5,157.66,Cliente frecuente,Sede 4,Comas,Oeste,Plan basico,Mensual,71.82,Victor Campos,Ventanilla,Premium,2025-05-02
225,2026-03-20,6,16,71.82,12,Presencial,Tarjeta,4,150.51,,Sede 3,Miraflores,Centro,Plan basico,Mensual,71.82,Miguel Salazar,AtE,Regular,2025-09-16
226,2026-01-26,2,22,55.86,0,Telefono,Transferencia,2,121.76,,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Diana Cruz,Los Olivos,Premium,2025-03-17
227,2026-05-17,2,7,210.83,10,Telefono,Transferencia,3 aprox,216.65,,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
228, 2026-04-25 ,4,14, 137.44 ,0,WhatsApp,Yape,2,187.16,OK,Sede 1,Ate,Este,Plan premium,Mensual,137.44,Marco Huaman,Lima,Premium,2025-08-28
229,2026-01-08,6,10,137.44,0,App,Yape,5,225.77,,Sede 3,Miraflores,Centro,Plan premium,Mensual,137.44,Maria Cruz,Chorrillos,Premium,2025-10-28
230, 2026-01-22 ,2,7,127.31,0 aprox,Web,Efectivo,4,173.76,OK,Sede 1,Ate,Este,Cross training,Especial,127.31,,Los Olivos,Corporativo,2025-06-19
231,2026-06-14,3,7,137.44,15,WhatsApp,Plin,5,167.55,Promocion,Sede 4,Comas,Oeste,Plan premium,Mensual,137.44,Diana Cruz,Lima,Corporativo,2025-02-24
232,2026-04-26,1,11,88.04,20,Presencial,Plin,3,111.66,  OK ,Sede 1,Ate,Este,Yoga,Especial,88.04,Sofia Huaman,La Molina,Regular,2025-01-27
233,2026-03-11,5,27,98.26,8,,  Yape ,1,198.69,Revisar,Sede 2,Callao,Oeste,FuNcIoNaL,Especial,98.26,JoRgE GoMeZ,Ventanilla,Nuevo,2025-05-22
234,01-06-2026,4,25,137.44,0,  Telefono ,Efectivo,4,"199,3",Promocion,Sede 1,Ate,Este,Plan premium,Mensual,137.44,Elena Rojas,Villa El Salvador,Regular,2025-07-22
235,2026-02-24,3,26,55.86,12 aprox,WhatsApp,Plin,3,S/ 119.4,Promocion,Sede 2,Callao,Oeste,Plan estudiante,,55.86,Camila Salazar,San Miguel,Nuevo,2025-02-16
236,2026-05-27,3,28, 88.04 ,20,Telefono,Transferencia,3,187.57,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Andre Torres,Ventanilla,Corporativo,2025-11-11
237,2026-06-28,2,19,127.31,15,  Presencial ,Transferencia,5,168.72,Cliente frecuente,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Lucia Navarro,Miraflores,Regular,2025-07-10
238,2026-04-02,3,16,127.31,0,WhatsApp,Tarjeta,3,164.13,OK,Sede 6,Surco,Este,Cross training,Especial,127.31,Camila Navarro,Miraflores,Frecuente,2025-09-14
239,2026-04-04,3,23,88.04 aprox,10,App,Plin,3,162.05,OK,Sede 7,Ventanilla,,Yoga,Especial,88.04,Elena Salazar,Surco,  Nuevo ,2025-08-16
240,2026-04-05,7,15,210.83,8,TeLeFoNo,Plin,4,262.57,Promocion,Sede 1,Ate,Este,Personalizado,Premium,210.83,Lucia Soto,Villa El Salvador,Frecuente,2025-12-01
241,2026-01-07,3,19,71.82,10,whatsapp,Yape,5,138.09,Revisar,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Jose Reyes,Villa El Salvador,Corporativo,2025-03-15
242,2026-01-06,,,55.86,12,  Web ,PLIN,5,112.75,Cliente frecuente,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Lucia Rojas,Surco,Frecuente,2025-09-17
243,2026-01-04,1,8,98.26,20,Web,Efectivo,1,144.27,Revisar,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Fiorella Campos,Los Olivos,Nuevo,2025-06-13
244,2026-06-04,4,12,210.83,10,Presencial,Yape,5,224.71,Cliente frecuente,Sede 7,Ventanilla,,Personalizado,Premium,210.83,Valeria Flores,LOS OLIVOS,Frecuente,2025-03-28
245,2026-03-05,8,14,55.86,0 aprox,Telefono,Transferencia,3,136.32,PrOmOcIoN,Sede 4,Comas,Oeste,Plan estudiante,,55.86,Jose Paredes,La Molina,Frecuente,2025-05-07
246,2026-01-11,3,17,55.86,15,Presencial,Plin,2,108.0,Promocion,Sede 1,Ate,Este,Plan estudiante,,55.86,Camila Vargas,Ate,nuevo,
247,2026-01-04,8,26, 117.96 ,8,Web,Tarjeta,2,217.9,,Sede 7,Ventanilla,,,MeNsUaL,117.96,JoRgE GoMeZ,Ventanilla,Nuevo,2025-05-22
248,2026-06-18,4,20,98.26,0,Telefono,Transferencia,1,146.24,,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Andre Cruz,Surco,premium,2025/02/04
249,2026-01-05,1,12,88.04,20,Telefono,Transferencia,1,120.82,Revisar,Sede 6,Surco,Este,Yoga,Especial,88.04,Sofia Campos,Lima,Corporativo,2025-06-09
250,2026-05-01,8 aprox,3,196.44,20 aprox,Presencial,Plin,1,195.49,,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,RaUl cAsTiLlO,Independencia,  Premium ,2025-08-17
251,2026-01-23,4,25,88.04,0,App,Efectivo,5,190.59,Revisar,Sede 3,Miraflores,Centro,Yoga,Especial,88.04,Maria Cruz,Chorrillos,Premium,2025-10-28
252,2026-06-19,4,21,,0,Web,Efectivo,4,181.46,OK,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Lucia Paredes,La Molina,Regular,2025-10-25
253,22/03/2026,4, 15 ,71.82,5,Web,YaPe,3,130.64,ReViSaR,Sede 2,Callao,Oeste,Plan basico,Mensual,71.82,Lucia Castillo,Ate,Frecuente,2025-08-17
254,2026-03-22,3,7,137.44,10,Web,Transferencia,4,152.01,Promocion,Sede 4,Comas,Oeste,Plan premium,Mensual,137.44,Ana Quispe,Ate,Regular,2025-06-20
255,2026-04-07,7,12,137.44,0,WhatsApp,Efectivo,2,186.94,Cliente frecuente,Sede 7,Ventanilla,,Plan premium,Mensual,137.44,Camila Navarro,Miraflores,Frecuente,2025-09-14
256,2026-02-24,1,16,55.86,0,App,Tarjeta,5,113.8 aprox,,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Jorge Rojas,CALLAO,Regular,2025-07-03
257,2026-03-19,1,18,S/ 196.44, 12 ,WhatsApp,Plin,2,209.69 aprox,,Sede 7,Ventanilla,,Plan familiar,Familiar,196.44,Camila Flores,lima,Corporativo,2025-03-22
258,2026-05-23,3,21,196.44,20,WhatsApp,Yape,2,244.6,Promocion,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Ana Flores,  San Juan de Lurigancho ,Frecuente,2025-09-03
259,2026-02-15,1,20,,8,WhatsApp,Transferencia,5,135.39,Cliente frecuente,Sede 6,Surco,Este,Yoga,Especial,88.04,Carlos Paredes,Los Olivos,Regular,18-04-2025
260,2026-01-07,7,3,137.44,,Telefono,Transferencia,2,153.66,OK,Sede 2,Callao,Oeste,Plan premium,Mensual,137.44,Carlos Soto,Lima,Regular,2025-12-20
261,2026-04-14,7,17,117.96,0,,Yape,1,187.36,OK,Sede 6,Surco,Este,,MeNsUaL,117.96,Andre Torres,Ventanilla,Corporativo,2025-11-11
262,2026-01-08,5,4 aprox,196.44,8,App,Plin,2,225.26 aprox,ReViSaR,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Jose Paredes,La Molina,Frecuente,2025-05-07
263,2026-05-20,5,14,196.44,,Telefono,Yape,5,194.45,Cliente frecuente,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Andre Torres,Ventanilla,Corporativo,2025-11-11
264,2026-05-10,5,21,127.31,10,App,Efectivo,2,185.15,,Sede 2,Callao,Oeste,Cross training,Especial,127.31,Marco Flores,Chorrillos,Regular,2025-10-01
265,2026-01-26,6,5,"127,31",20,App,Transferencia,3,140.43 aprox,Promocion,Sede 5,Villa El Salvador,Centro,Cross training,Especial,127.31,Carlos Paredes,Los Olivos,Regular,18-04-2025
266,2026-01-10,5,18,88.04,0,Web,Transferencia,2,166.77,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Carlos Paredes,Los Olivos,Regular,18-04-2025
267,2026-05-28, 8 ,2,55.86,15,Presencial,Transferencia,4,S/ 90.75,Revisar,Sede 3,Miraflores,Centro,Plan estudiante,,55.86,Valeria Flores,LOS OLIVOS,Frecuente,2025-03-28
268,2026-03-14,1,11,196.44,8,Presencial,Efectivo,1,202.09,  Promocion ,Sede 2,Callao,Oeste,Plan familiar,Familiar,196.44,Carlos Vargas,Los Olivos,Regular,02-09-2025
269,2026-05-28,1,17,98.26,20,  Telefono ,Plin,5,174.88,OK,Sede 1,Ate,Este,FuNcIoNaL,Especial,98.26,Marco Cruz,Lima,Regular,2025-05-24
270,2026-01-01,7,14,137.44,15,WhatsApp,Yape,2,200.8,,Sede 1,Ate,Este,Plan premium,Mensual,137.44,Jorge Cruz,Independencia,Frecuente,2025-06-06
271,2026-01-09,7,23,,8,WhatsApp,Yape,3,114.97,OK,Sede 6,Surco,Este,Plan estudiante,,55.86,Lucia Navarro,Miraflores,Regular,2025-07-10
272,2026-03-07,1,13,196.44,12,App,  Plin ,3 aprox,234.67,,Sede 1,Ate,Este,Plan familiar,Familiar,196.44,Andre Cruz,Surco,premium,2025/02/04
273,2026-06-18, 6 ,19,88.04,0,WhatsApp,Plin,1,166.31,Revisar,Sede 6,Surco,Este,Yoga,Especial,88.04,Marco Cruz,Lima,Regular,2025-05-24
274,28/02/2026,6,27,117.96 aprox,0,Presencial,Efectivo,3,201.03,,Sede 4,Comas,Oeste,,MeNsUaL,117.96,Jose Paredes,La Molina,Frecuente,2025-05-07
275,,3,25,127.31,15,Presencial,Transferencia,5,191.06,Cliente frecuente,Sede 6,Surco,Este,Cross training,Especial,127.31,Ana Huaman,Miraflores,Nuevo,2025-12-28
276,2026-04-10,3,22,210.83,0,App,Efectivo,3,266.56,OK,Sede 5,Villa El Salvador,Centro,Personalizado,Premium,210.83,Jose Reyes,Villa El Salvador,Corporativo,2025-03-15
277,2026-04-16,8,27,S/ 127.31, 0 ,Web,Plin,5,217.51,,Sede 1,Ate,Este,Cross training,Especial,127.31,Lucia Gomez,Callao,Corporativo,2025-04-01
278,2026-02-11,6,16,S/ 88.04,10,Presencial,,1,147.6,,Sede 2,Callao,Oeste,Yoga,Especial,88.04,Diana Cruz,San Juan de Lurigancho,Regular,2025-02-25
279,2026-01-03,3,12,210.83,12,Telefono,Transferencia,4,"238,0",,Sede 6,Surco,Este,Personalizado,Premium,210.83,Diego Mendoza,San Juan de Lurigancho,Premium,2025-11-03
280,2026-04-20,1,14,137.44,8,Presencial,Tarjeta,1,167.47,,Sede 5,Villa El Salvador,Centro,Plan premium,Mensual,137.44,Andre Torres,Ventanilla,Corporativo,2025-11-11
281,2026-03-07,4,19,137.44 aprox,0,App,TARJETA,4,197.56,Cliente frecuente,Sede 4,Comas,Oeste,Plan premium,Mensual,137.44,Marco Flores,Chorrillos,Regular,2025-10-01
282, 2026-04-07 ,1,24,210.83,0,WhatsApp,Efectivo,2, 278.05 ,Promocion,Sede 2,Callao,Oeste,Personalizado,Premium,210.83,Sofia Huaman,La Molina,Regular,2025-01-27
283,2026-01-14,5,11,88.04,8,WhatsApp,Transferencia,1,154.3,Revisar,Sede 6,Surco,Este,Yoga,Especial,88.04,Miguel Salazar,AtE,Regular,2025-09-16
284,2026-03-09,1,8,55.86,0,App,Efectivo,3,88.48,OK,Sede 6,Surco,Este,Plan estudiante,,55.86,Raul Flores,  San Juan de Lurigancho ,Corporativo,2025-06-20
