id_venta,fecha_operacion,cantidad_unidades,precio_venta_unitario,costo_unitario,descuento_pct,stock_inicial,stock_final,merma_unidades,canal,metodo_pago,monto_venta_soles,margen_venta_soles,observacion,tiendas_nombre,tiendas_distrito,tiendas_zona,tiendas_tipo_local,productos_nombre,productos_categoria,productos_proveedor,productos_costo_unitario,productos_precio_lista,clientes_nombre,clientes_distrito,clientes_segmento,clientes_fecha_registro
95,2026-05-04,50,5.34,3.22,0,155,105,0,WhatsApp,Yape,281.59,202.66,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Carlos Reyes,Ate,Mayorista pequeno,2025-04-03
96,2026-06-24,66,15.88,"9,47",10,118,52,0,Delivery local,Yape,444.45,186.88 aprox,OK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Camila Campos,San Miguel,Ocasional,2025-04-17
97,2026-06-23, 52 ,4.96,3.54,0,200,148,0,Telefono,Efectivo,376.59,278.94,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Andre Rojas,Comas,Familia,12-04-2025
98,25/03/2026,74,7.48,4.78,12,138,64,0,Telefono,Efectivo,390.09,285.54,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Pedro Huaman,Villa El Salvador,Mayorista pequeno,2025-06-16
99,2026-02-03,73,28.29, 19.46 , 15 ,,175,0,  Telefono ,,488.59,-111.61 aprox,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Luis Sayan,Independencia,Vecino frecuente,2025-02-02
100,2026-03-27,13,7.13,4.52,10,231,218,0,Telefono,Efectivo,89.05,,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,AnA FlOrEs,Ate,Negocio,2025-11-23
101,2026-05-24,50,14.32,9.47,5,146,96,0,Mostrador,Efectivo,455.02,234.96,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,  Maria Reyes ,Los Olivos,Ocasional,2025-01-02
102, 2026-06-15 ,61,9.98,5.82,3,236,175,0,Mostrador,Tarjeta,S/ 473.48,312.75,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Valeria Rojas,Lima,,2025-01-18
103,25/06/2026,35,5.48,3.25,3,49,14,0,delivery local,Tarjeta,243.71,S/ 186.68,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Fiorella Salazar,La Molina,Ocasional,2025-09-01
104,2026-01-18,66,12.4,S/ 8.22,3,231,165,0,Mostrador,Plin,429.68,156.34,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Elena Salazar,Callao,Negocio,2025-06-19
105,2026-06-16,15,"26,72",19.48,3,113,98,0,Mostrador,Plin,120.33,-56.69,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Marco Mendoza,Ate,Ocasional,2025-08-23
106,2026-06-24,22,3.68,2.33,0,88,66,0,WhatsApp,Tarjeta,174.33,132.96,Promocion,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Valeria Rojas,Lima,,2025-01-18
107,2026-01-06,55,2.76,1.64, 15 ,159,104,0,Telefono,Transferencia,348.57,362.71,Revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,galletas soda,Snacks,Dulcesur,1.64,2.79,Raul Ramos,Ate,NeGoCiO,19-06-2025
108,2026-06-02,42,5.1,3.1,3,115,73,0,WhatsApp,Plin,306.69,261.62,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Ana Flores,San Juan de Lurigancho,Ocasional,2025-11-21
109,2026-02-02,26,4.94,3.39,0 aprox,84,57,1,WhatsApp,Plin,192.65,S/ 126.29,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Luis Quispe,Ventanilla,Negocio,2025-11-12
110,2026-02-12,26,13.65,8.41,12,227,201,0,WhatsApp,Tarjeta,219.76,120.7,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Andre Rojas,San Miguel,Mayorista pequeno,2025-09-14
111,2026-03-04,42,6.69,4.58,15,186,144,0 aprox,Mostrador,Tarjeta,269.99,208.41,Revisar stock,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Valeria Rojas,Lima,,2025-01-18
112,2026-05-05,56,7.39,4.62,8,225,169,0,Delivery local,Transferencia,333.55,224.84,OK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Carlos Vargas,Villa El Salvador,Ocasional,2025-07-19
113,2026-06-24,66,15.88,"9,47",10,118,52,0,Delivery local,Yape,444.45,186.88 aprox,OK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Camila Campos,San Miguel,Ocasional,2025-04-17
114,04/01/2026,10,S/ 4.77,3.46 aprox,5,110,97,3,Telefono,,76.26,53.66,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,  Maria Reyes ,Los Olivos,Ocasional,2025-01-02
115,2026-03-24,9,3.83,2.33,15 aprox,125,116,0,Delivery  local,Tarjeta, 62.5 ,60.18,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Camila Campos,San Miguel,Ocasional,2025-04-17
116,2026-05-11,54,5.42,3.29,5,67,10,3,Delivery local,Plin,234.69,"165,19",Cliente frecuente,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Claudia Salazar,Chorrillos,Negocio,2025-08-23
117,2026-05-28,48,2.87,1.63,5,173,125,0,WhatsApp,Plin,,265.7,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,galletas soda,Snacks,Dulcesur,1.64,2.79,Marco Huaman,San Miguel,Vecino frecuente,2025-03-14
118,2026-01-12,12,28.2,18.64,10,,207,0,Delivery local,Yape,143.34,-1.62,,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Raul Rojas,Comas,Negocio,2025-02-04
119,2026-01-19,15,4.98,3.22,8,39,24,0,Telefono,Plin,96.55,72.04,Cliente frecuente,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Maria Quispe,Ventanilla,NEGOCIO,2025-09-04
120,2026-03-20,58,4.72,S/ 3.41,12,251,193,0,WhatsApp,  Tarjeta ,525.39,474.01,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Luis Sayan,Independencia,Vecino frecuente,2025-02-02
121,2026-02-09,55 aprox,7.43,4.9 aprox,3,76,21,0,  Delivery local ,Plin,1265.96,530.64,,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Raul Rojas,Comas,Negocio,2025-02-04
122,2026-06-14,55,12.86,8.27,3,112,57,0,Delivery local,Transferencia,432.02,202.28,OK,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Valeria Reyes,Chorrillos,VeCiNo fReCuEnTe,2025-12-24
123,2026-04-10,10,6.47,,8,206,196,0,Delivery local,efectivo,106.64,69.83,,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Andre Rojas,San Miguel,Mayorista pequeno,2025-09-14
124,2026-01-10,52,2.68,1.7,15,170 aprox,118,0,Delivery local,Plin,398.31,423.96 aprox,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,galletas soda,Snacks,Dulcesur,1.64,2.79,Jose Mendoza,LIMA,Ocasional,2025-01-21
125,2026-03-03,63,13.53,8.13,0,136,73,0,WhatsApp,Plin,607.87,351.96,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Carlos Reyes,Ate,Mayorista pequeno,2025-04-03
126,2026-01-07,30,5.1,3.11,5,97,66,1,WhatsApp,Transferencia,S/ 211.43,162.84,Promocion,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Sofia Vargas,CaLlAo,Familia,2025-12-16
127,2026-01-17,30,9.89,6.03,0,72,42,0,WhatsApp,Tarjeta,250.51,170.63,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Ana Castillo,Ate,Negocio,2025-04-02
128,2026-06-12,53,2.75,1.6,15 aprox,126,72,1,MoStRaDoR,Plin,301.59,"321,06",OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,galletas soda,Snacks,Dulcesur,1.64,2.79,Rocio Paredes,San Juan de Lurigancho,Ocasional,2025-02-05
129,2026-06-06,43,5.0,3.26,0,278,233,2,Delivery local,Yape,331.17,258.4,,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Camila Campos,Chorrillos,FaMiLiA,2025-04-12
130,05-03-2026,51,7.18,,12,161,110,0,Telefono,Plin,360.89,318.6,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Andre Quispe,San  Juan  de  Lurigancho,Ocasional,2025-03-02
131,2026-06-25,35,S/ 14.39,10.16,0,110 aprox,75,0,DeLiVeRy lOcAl,,245.77,53.65,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Claudia Mendoza,San Miguel,Mayorista pequeno,2025-12-02
132,2026-03-14,30, 10.05 ,6.58,8,60,30,0,Delivery local,Transferencia,227.79,142.03,CLIENTE FRECUENTE,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Luis Sayan,Independencia,Vecino frecuente,2025-02-02
133,2026-05-04,44 aprox,3.89,2.2,12,62,18 aprox,0,Telefono,Plin,337.91 aprox,325.68,OK,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Rocio Campos,Los Olivos,Negocio,2025-01-08
134,2026-02-18,72,10.13,6.56,5,198,126,0,Telefono,Tarjeta,380.69,155.92,Revisar stock,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Jorge Campos,San Miguel,NEGOCIO,2025-07-11
135,2026-01-19,63,9.78,6.74,8,158,95,0,WhatsApp,Efectivo,539.01,"374,19",Cliente frecuente,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,  Maria Reyes ,Los Olivos,Ocasional,2025-01-02
136,10/05/2026,28,6.49,4.52,3,49,20,1,  Telefono ,Tarjeta, 261.43 ,199.48,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Rocio Vargas,Chorrillos,Negocio,2025-12-24
137,2026-02-17,16,6.59 aprox,4.47,12,241,225,0,Mostrador,Plin,96.32,56.29,Cliente frecuente,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Atun en lata,Conservas,Mar Azul,4.39,6.74,Raul Soto,Surco,FaMiLiA,17/03/2025
138,2026-05-16,43,"9,84",6.65,8,123,80,0,Mostrador,  Transferencia ,250.07,139.34,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Diana Vargas,Comas,Familia,2025-11-28
139,2026-02-11, 31 ,15.67,9.67,12,73,42,,WhatsApp,Tarjeta,249.69,117.97,Promocion,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Diego Rojas,LA MOLINA,Negocio,2025-10-13
140,2026-02-02,46, 7.46 ,4.7,0,225,179,0,WhatsApp,Plin,321.27,216.65,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Raul Soto,Surco,FaMiLiA,17/03/2025
141,2026-05-12,6,7.43,4.59,12,134,128,0,Mostrador,Yape,46.73,22.9,Promocion,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,AnA FlOrEs,Ate,Negocio,2025-11-23
142,2026-03-11,65,28.01,19.27,0,303,238,0,,Yape,415.83,-210.13,Cliente frecuente,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Maria Ramos,Los Olivos,Vecino frecuente,2025-06-25
143,,44,12.7,7.97,0,123,77,2,Delivery local,Yape,"280,2",67.56,  Cliente frecuente ,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Pedro Quispe,Los Olivos,Negocio,2025-08-05
144,2026-03-21,45,6.51, 4.59 ,0,245,200 aprox,0,Mostrador,Plin,251.68,126.17,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Miguel Vargas,Lima,Mayorista pequeno,2025-10-16
145,2026-01-15,,S/ 15.11,9.76,15,89,58,0 aprox,Delivery local,,229.88,98.74,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Ana Navarro,Ventanilla,Vecino frecuente,2025-08-24
146,2026-02-18,34,9.17,5.84,15,126,92,0,MOSTRADOR,Transferencia,255.26,206.39,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Elena Rojas,Comas,Mayorista pequeno,2025-08-03
147,2026-06-12,71 aprox,2.72 aprox,1.66,12,221,150,0,Mostrador,Plin,454.68,450.81,Cliente frecuente,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,galletas soda,Snacks,Dulcesur,1.64,2.79,Camila Quispe,Surco,Negocio,2025-08-06
148, 2026-02-04 ,63,27.03,18.81,12,160,94,3,Delivery local,Yape,450.19,-133.83,Promocion,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Diana Vargas,,,2025-12-23
149,2026-06-22,18,13.19,8.3,15,235,217,0,  Mostrador ,Efectivo,173.65,88.59,Promocion,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Ana Vargas,Ate,Familia,2025-08-20
150,2026-01-23,41,5.12,3.17,3,130,89,0,Telefono,yape, 368.12 ,325.02,,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,  Maria Reyes ,Los Olivos,Ocasional,2025-01-02
151,2026-06-12,10,6.72,4.49,0,99,89,0,Mostrador,EFECTIVO,106.73,81.55,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Atun en lata,Conservas,Mar Azul,4.39,6.74,Andre Navarro,Ate,Negocio,2025-10-18
152,2026/06/15,4,14.75,S/ 9.64,12,248,242 aprox,2 aprox,Mostrador,Tarjeta,68.28,-8.86,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Pedro Huaman,Villa El Salvador,Mayorista pequeno,2025-06-16
153,2026-04-01,,5.15,3.39,0,177,146,0,Mostrador,YaPe,,231.78,Promocion,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,,SaN JuAn dE LuRiGaNcHo,Vecino frecuente,2025-11-05
154,2026-06-09,38,5.11 aprox,3.26,3,70,32,0,Telefono,Transferencia,269.18,222.2,Promocion,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,,Surco,Mayorista pequeno,2025-01-13
155,2026-01-18,5,3.51,2.23,10,226,221,0,Mostrador,Efectivo,44.25,39.42,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Miguel Mendoza,Callao,Familia,2025-10-24
156,2026-03-26,21,9.26,5.68,10,58,37,0,Delivery local,Tarjeta,124.23,S/ 71.63,,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Luis Mendoza,Callao,Ocasional,2025-11-11
157,2026-01-05,74,9.19,5.63,15,199,125,0,telefono,Transferencia,392.13,270.89,OK,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Luis Navarro,Lima,Negocio,2025/05/28
158,2026-03-03,74,13.0,7.8,8,113,39,0,WhatsApp,Yape,555.33,,OK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Ana Vargas,Ate,Familia,2025-08-20
159,2026-02-05, 56 ,5.05,3.41,15,145,89,0,Delivery local,Plin,378.91,346.21,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Maria Quispe,Ventanilla,NEGOCIO,2025-09-04
160,2026-06-24,17 aprox,9.71,6.64,15,228,211,0,WhatsApp,Efectivo,148.3,92.49,,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Fiorella Navarro,Callao,  Ocasional ,2025-01-04
161,2026-03-14,61,14.94,9.93,0,274,213,0,Mostrador,Efectivo,406.56,105.9,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Elena Rojas,Comas,Mayorista pequeno,2025-08-03
162,2026-02-17,17,5.28,3.28,10,42, 25 ,0,Delivery local,Transferencia,131.74,"92,55",OK,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Ana Flores,San Juan de Lurigancho,Ocasional,2025-11-21
163,2026-06-03,58,29.25,18.7,0 aprox,83,25,0,WHATSAPP,Plin,463.5,-79.68,Promocion,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Ana Paredes,Callao,Ocasional,2025-06-26
164,2026-03-13,32,10.32,6.95,8,47,15,0,TELEFONO,Yape,207.48,118.25,OK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Andre Quispe,San  Juan  de  Lurigancho,Ocasional,2025-03-02
165,2026/03/07,7,5.07,3.38,3,102,93,2,WhatsApp,Yape,52.82,26.92,Cliente frecuente,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Fiorella Torres,San Miguel,Mayorista pequeno,10-10-2025
166,08/01/2026, 44 ,9.83,6.03,0,273,229, 0 ,,Plin,262.1,89.81,,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,,La Molina,Vecino frecuente,2025-04-01
167,2026-05-07,7,4.77,3.42,0,217,,0,whatsapp,TARJETA,57.31,41.9,Cliente frecuente,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Miguel Sayan,,Negocio,2025-03-21
168,2026-04-08,57,3.81,2.23,0,223,164,2,WhatsApp,Efectivo,399.72,332.25,Revisar stock,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Marco Mendoza,Ate,Ocasional,2025-08-23
169,2026-04-27,67,4.96,3.29,3,92,24,1,WhatsApp,Yape,484.51,378.76,Cliente frecuente,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Carlos Soto,Villa El Salvador,Vecino frecuente,2025-06-04
170,2026-04-21,34, 3.88 ,2.2,8,204,170,0,Mostrador,Tarjeta,286.27,251.41,Revisar stock,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,SOFIA SOTO,  Miraflores ,Vecino frecuente,2025-10-23
171,2026-04-24,50,9.99 aprox,5.78,15,251 aprox,201,0,Mostrador,Tarjeta,270.16,162.85,,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Victor Castillo,Villa El Salvador,Ocasional,01-06-2025
172,2026-01-20,32,9.31,5.99,10,252,220,0,Mostrador,Efectivo,"259,1",154.14,Revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Papel higienico,Limpieza,Suave Hogar,5.76,9.3,Luis Rojas,Independencia,Negocio,2025-03-17
173,2026-05-04,33,9.44,6.64,10,147,114,0,Mostrador,Plin,230.67,122.84,OK,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Carlos Reyes,Ate,Mayorista pequeno,2025-04-03
174,2026-02-08,34,28.38,18.54 aprox,0,109,75,0,Mostrador,TaRjEtA,S/ 322.19,7.88,,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Luis Mendoza,Callao,Ocasional,2025-11-11
175,2026-04-27,37,2.84,1.64,,233,196,0,Mostrador,Transferencia,215.63,184.41,Revisar stock,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,galletas soda,Snacks,Dulcesur,1.64,2.79,Pedro Quispe,Los Olivos,Negocio,2025-08-05
176,2026-02-02,8,7.26,4.66,8,76,,0,  Telefono ,,76.78,41.95,Cliente frecuente,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Yogurt familiar,Lacteos,Lacteos Lima,4.69,7.48,Elena Salazar,Callao,Negocio,2025-06-19
177,2026-02-17,8,29.23, 18.86 ,8,203,194,1,,plin,S/ 111.28,-24.52,Promocion,Abarrotes Esperanza 1,Los Olivos,Sur,Tienda  de  mercado,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Diego Rojas,LA MOLINA,Negocio,2025-10-13
178, 2026-02-22 ,48,14.35,10.1,15,174,126,0,TeLeFoNo,PLIN,272.42,68.21,  Revisar stock ,Abarrotes Esperanza 5,La Molina,Este,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Marco Mendoza,Ate,Ocasional,2025-08-23
179,2026-06-23,74,S/ 5.37,3.25,15,157,83,0,,Yape,399.26,333.23,promocion,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Leche evaporada,Lacteos,Lacteos Lima,3.19,5.1,Elena Salazar,Callao,Negocio,2025-06-19
180,2026-01-20,62, 4.86 ,3.42,0, 235 ,173,0,Mostrador,Plin,410.96 aprox,314.59,,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Pedro Quispe,Los Olivos,Negocio,2025-08-05
181,2026-03-21,60,S/ 5.21,3.29,8,296,236,0,Mostrador,Yape,412.57,336.61,revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Lenteja 500g,Menestras,Campo Bueno,3.38,5.14,Ana Castillo,Ate,Negocio,2025-04-02
182,2026-05-19,60,15.36,9.85,3,168,106,2,Delivery local,Transferencia,417.61,116.54,ReViSaR StOcK,Abarrotes Esperanza 4,Miraflores,Norte,Tienda de mercado,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,AnA FlOrEs,Ate,Negocio,2025-11-23
183,2026-04-06,18,3.7,2.29,0,201,183,0,mostrador,PLIN,149.89,108.79,,Abarrotes Esperanza 7,La Molina,Sur,Almacen,Fideos spaghetti,Pastas,Pastas Sol,2.23,3.62,Carlos Salazar,Chorrillos,Vecino frecuente,2025-01-16
184,2026-05-01,8,13.37,7.89,15,124,111,5,Delivery local,Yape,81.53,-16.07,OK,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Aceite vegetal 1L,Aceites,  Oleo Andino ,8.03,12.76,Ana Soto,La Molina,Vecino frecuente,2025-12-11
185,17-03-2026,44 aprox,4.69,3.44,0,223,178,1,Telefono,Transferencia,280.88,196.49,,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,RoCiO SaYaN,Ate,Negocio,2025-04-18
186,2026-04-13,4,"10,03",6.87, 5 ,139,135,0,Mostrador,Plin,49.22,14.12,OK,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Detergente bolsa,Limpieza,Casa Limpia,6.62,9.65,Valeria Navarro,Los Olivos,Ocasional,2025-09-23
187,,71,26.39,18.85,5,194,123 aprox,0,Telefono,,632.38,13.83,Revisar stock,Abarrotes Esperanza 3,Los Olivos,Norte,Almacen,Arroz extra 5kg,granos,Molino Norte,18.95,27.3,Andre Quispe,San  Juan  de  Lurigancho,Ocasional,2025-03-02
188,2026-05-01,64,15.47,9.91,0 aprox,87,23,0,Telefono,Plin,418.07,96.56,  Revisar stock ,Abarrotes Esperanza 2,La Molina,Norte,Almacen,Cafe instantaneo,Bebidas,Cafe Sierra,9.7,14.87,Camila Campos,Chorrillos,FaMiLiA,2025-04-12
189,2026-04-15,28,2.87,1.65,8,146,118,0,Mostrador,Plin,,221.41,Revisar  stock,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,galletas soda,Snacks,Dulcesur,1.64,2.79,Carlos Soto,Villa El Salvador,Vecino frecuente,2025-06-04
190,2026-03-08,10,5.17 aprox,3.48,0,94,84, 0 ,Telefono,Plin,99.06,74.81,,Abarrotes Esperanza 6,Comas,Centro,ALMACEN,Azucar rubia 1kg,Endulzantes,Dulce Peru,3.35,4.79,Carlos Quispe,Ate,Familia,2025-08-24
